,Comment,mean,cleaned,cleaned 2,final cleaned,Human Annotation
395,pourquoi pa en fran ai,-0.5,-1,0,-1,
396,how can you be adding blurry video and claim to have a video producing business make no sense and make it harder to follow you,-0.5,-1,0,-1,
397,i am making an updated version of this video i made a mistake of using my actual client dropbox and had to blur everything for privacy i will use a demo account and update this soon,-1,-1,0,-1,
398,hi good video am i able to send mp3 file through dropbox,-1,-1,0,-1,
399,rise daughter rise no a long a you create and share the link to the file anyone with that link should be able to view it,0.264583333,1,1,1,
400,howfinity oh ok one last thing is it required that my client have dropbox account in order to view file,0.197445887,1,0,0,
401,rise daughter rise you can send mp3 via email if it is small enough file le than 20 mb usually which is most mp3 file otherwise you can put it in dropbox and copy the link and share that link only people with that link can see the file and play it email might be easier in this case though,0.204502165,1,1,1,
402,howfinity that is great to know because i am adding audio to my resume and needed a way to send audio file can the file only be delivered via email or is there a way i can create client folder issue them a password and they can have access,0.120779221,1,0,0,
403,yep,0.161279461,1,0,0,
404,jeez i thought it wa beginner i lost the plot after 30 second much to fast with talking and tech talk not for me,0.120779221,1,0,0,
405,my bad i got ta make a better video i have been using this for too long and did not realize how fast i wa going,0.14375,1,0,0,
406,the writing is too small to see what you are clicking or highlighting and you are going rather fast for a beginner to follow along i understand that you know the content but others are using this a a walk through to learn so we do not know the content i stopped at the half way mark because i do not know what you are clicking on so this video wa not useful for me next,0.089502165,-1,0,-1,
407,i do not get it why do you need to download dropbox to then share the file via email why not share the fiile via email,0.091666667,-1,0,-1,
408,thanks for posting this video i do have a question what about exporting file to an app for instance i would think that you can do this with dropbox but i can not see anywhere in dropbox how this can be done can anyone please help thanks,0.139502165,1,0,0,
409,this tutorial would be helpful if it wa not blurry thank you,0.189502165,1,0,0,
410,whoa what way to fast i stopped watching i am a beginner,0.216666667,1,1,1,
411,my bad i will remake this video,0,-1,0,-1,
412,i stopped watching after a few minute also he moved so quickly i wa not able to keep up a well at the 5 min mark i did not see how to label my file i guess into folder right then how they look when they are packaged emailing them would be a later action a far a a beginner like myself is concerned,0.1625,1,0,0,
413,can you upload for those without an account to download because that is important because many might not want to sign up just to get file,0.125,1,0,0,
414,i stopped watching this after a few minute i am a beginner and wa totally lost with all the movement and explanation maybe consider slowing down so that we can see where you are going to on the screen thanks anyway,0.125,1,0,0,
415,suzy b music we are trying 75 speed playback dropbox is confusing and weve used it for 3 year happy holiday,0.125,1,0,0,
416,for me just the same,0.125,1,0,0,
417,thanks so much for watching please give this video a thumb up and subscribe to this channel for daily easy to follow tech video thank you,0.5,1,1,1,
418,i guess im asking the wrong place but doe any of you know a trick to get back into an instagram account i stupidly forgot my password i would love any tip you can offer me,0.125,1,0,0,
419,i can not follow you at all stopped the video you are too smart for me,0.125,1,0,0,
420,thank you for this information i need help putting the file in my own order not alphabetical i see the tutorial and written info from dropbox but none of it ha helped,0.125,1,0,0,
421,yeah ummmm yeah i tried my system of haha order 20 year ago and now it is a big mess,0.5,1,1,1,
422,so if your pc get hacked your phone and other device get hack too easy access for google to get all of your file lol lol lol,0,-1,0,-1,
423,thanks for taking the time to make this i found the dropbox menu needlessly confusing,0.125,1,0,0,
424,you really should say how to do this on mac,0.125,1,0,0,
425,exactly,0.5,1,1,1,
426,i agree,0,-1,0,-1,
427,doe the recipient of the shared file need a db account also can my contact be accessed in db or do i need to know the address to type it in the share from the browser i know if i copy link i can email from my mac phone and input the address from the contact list this is the best into vid just what my old head needed thank you 10 8 19,0,-1,0,-1,
428,will my money continuously debit every month automatically,0.5,1,1,1,
429,not really for beginner assumes that you work with it already,2.65E-05,-1,0,-1,
430,excellent and i subscribed,0.033685174,-1,0,-1,
431,excellent video with great instruction,0.040529687,-1,0,-1,
432,way too fast gave up trying to follow this,0.073827091,-1,0,-1,
433,thanks for the video i still have a question if i want ti save space on may mac if i drag and drop a file from my mac to dropbox doe it delete it off my mac secondly are there setting in dropbox that will keep it on the mac a well i do not want that a i need the space,-0.002260101,-1,0,-1,
434,very helpful thank u,-0.054166667,-1,0,-1,
435,sajt excellent tutorial thank you a a senior art director i have used dropbox for year but they are always updating and adding new feature only constructive criticism please try to enhance the shot of your physical desktop they are rather squinty and hard to see great job thanks i subscribed,0.08828058,-1,0,-1,
436,robert bruce yea 100percent with you on that and have been zooming in more to my desktop,0.193421053,1,0,0,
437,love you teaching not a easy a they try to make it seem it is confusing but you do a good job in explaining,-0.054166667,-1,0,-1,
438,hey thanks man i think i went a bit too fast since i use it all the time but i have gotten better since i made that video i will do an update soon they have added a few useful thing,0.021252987,-1,0,-1,
439,thank you very sir may i ask you is it need to buy,-0.081332071,-1,0,-1,
440,i want sale my account with 3tb only 30dollar serious people contact me,0.067250256,-1,0,-1,
441,ja say no it is not,0.031854257,-1,0,-1,
442,can u upload online vids to the ipad,-0.050132258,-1,0,-1,
443,could not make the print any smaller could ya,0.05399205,-1,0,-1,
444,way too fast give people time to follow along this video is useless a is,0.093096421,-1,0,-1,
445,youtube ha a 5 speed for people that prefer slow look at the thumb up to thumb down i can not make everyone happy hence there is 5x speed and 2x speed,-0.002228804,-1,0,-1,
446,this vdo clip is a sale pitch how do you use dropbox i am all confused,-0.054166667,-1,0,-1,
447,i can not see a thing all is too small to follow,0.114430454,1,0,0,
448,plese give me dropbox apps link plese brother i am very important,0.040657399,-1,0,-1,
449,i want sale my account with 3tb only 30dollar serious people contact me,0.077825217,-1,0,-1,
450,this is so confusing,0.059824914,-1,0,-1,
451,slow down bro this is a tutorial video not a race to see how fast you can explain something,0.122336286,1,0,0,
452,learn how to use youtube in addition to pause there is setting to speed up and slow down the video i just watched the video at 1 5x speed and understood him just fine i appreciated his pace a most tutorial are entirely too long,0.11063746,1,0,0,
453,that is what the pause button wa made for,0.130981956,1,0,0,
454,right they all do that we are graphic people and are very literal when you show u visual data please slow down a bit so we can process thing,0.019827491,-1,0,-1,
455,is db similar to google drive,0,-1,0,-1,
456,i never used dropbox before and you stated this is for first timer then you started going through like a rocket could not keep up how about one for beginner,-0.007838499,-1,0,-1,
457,why cn i not get them back,0,-1,0,-1,
458,thanks for sharing,0.138686729,1,0,0,
459,ray ramano you are very helpful thanks ray,0.254109552,1,1,1,
460,sound good doesnt work,0.366039035,1,1,1,
461,dropbox working bad with excel file if autosave is switched on antivirus and dropbox upload in the same time caused file freeze sometime it unstucks after pair of minute sometimes not window 10 office 365 any antivirus,0.280548736,1,1,1,
462,i have a need help how do you free up space to put it back to zero or is it not possible like say if i have 1 000gb witch i do and i use 300gb how do you put it back to zero or can not you,0.783333333,1,1,1,
463,i tryed delting the file thinking it would free up the space but nope,0.644693878,1,1,1,
464,reduce your caffeine intake by half and slow down you click and move through screen so fast i have to pause this every 10 second to see what the hell you are talking about,0.380967078,1,1,1,
465,ben gedzyk there is a 5 speed button on all youtube video for every message i get like this i get 3 saying i go too slow i can not win with everyone,0.424810606,1,1,1,
466,thank you,0.756084656,1,1,1,
467,500mb refferral link,0.545238095,1,1,1,
468,i have a movie on dropbox how can i watch it help,0.24296875,1,1,1,
469,hi thanks for the video i also use dropbox and my question is why doe it keep a copy on your pc especially if you have hundred of gigabyte a this just take a lot of hard drive space is there a way around this also if you save some file to db on your desktop doe it automatically save to the cloud a i have found that some file were saved to db on my pc but never showed up in the cloud and others that i work with said i never saved them there this then created problem with which file is the most recent,0.285577877,1,1,1,
470,,0,-1,0,-1,
471,for beginner no it is not you are racing through without explaining anything too fast i wa lost after 3 minute and gave up,0.322984307,1,1,1,
472,david williams still terrible explanation with no context slow doesnt help when it this bad,0.258653846,1,1,1,
473,there is a pause and rewind option you can even slow the video speed lol,0.55498779,1,1,1,
474,maybe you should try decaf,0.338435374,1,1,1,
475,absolutely seems like he ha no idea how he is coming across way too fast,0.258653846,1,1,1,
476,totally agree way too fast and too small to see anything,0.332638889,1,1,1,
477,will dropbox handle mp3 file,0.275,1,1,1,
478,howfinity thx,0.530440771,1,1,1,
479,yea it will,0.440656566,1,1,1,
480,i have a question do you ever have you ever answered any of the question posted here,0.26498557,1,1,1,
481,the answer to your question is no answer,0.16,1,0,0,
482,thank you for the video can i delete the file i have on my computer once i have saved them on dropbox so a to clear up some space will the folder also get deleted in my dropbox account,0.454545455,1,1,1,
483,rewalos what can i help you with i get over 100 question a day i only get to answer 30 or so otherwise i would not have time to make video or have a job,0.275,1,1,1,
484,thank you for the video can i delete the file i have on my computer once i have saved them on dropbox so a to clear up some space will the folder also get deleted in my dropbox account,0,-1,0,-1,
485,yes they can stop you using your drop box after a year and you will lose everthing,0.349166667,1,1,1,
486,a lot of info you need to slow down i am old i need to find a 14 yr old to set this up for me lol,0.563333333,1,1,1,
487,you can slow the video down by the way or any youtube video for that matter by just clicking on the little gear icon it is on the upper right of my phone screen but it may be located in a different spot for you and then click on the playback speed option to slow it down to your desired pace i would used youtube for a decade before figuring that out and it really come in handy if i need to speed up a video to find a certain spot or slow it down when watching certain action shot like the beirut blast is sound wave it is also very well done because it doe not change the tone of a person is voice ie will not sound like a giant when slowed or a chipmunk when sped up good luck my friend,0.46280303,1,1,1,
488,you should not have any 14 year old near you,0.222916667,1,1,1,
489,i am a 14 year old and i have to watch this lol,0.172101878,1,0,0,
490,yes you got that right it take me also some energy to install properly,0.17744392,1,0,0,
491,mica lyn rude as,0.146396165,1,0,0,
492,use this link to get up to 1 2gb more free storage when you sign up and download t,-0.107601678,-1,0,-1,
493,thank you for the great video information one question a i too use dropbox can you set dropbox storage a an alternate time machine backup on the mac,0.120917108,1,0,0,
494,not exactly 1 depending on which dropbox plan you have your uploaded file do not persist in basic plan uploaded file expire in 30 day to serve a a time machine your file would need to persist until you deleted them 2 why would you use up you use up valuable your drop box cloud space a an archive that is what your icloud or pc equivalent account or your computer is hard drive is for time machine is super easy to install amp use and should be paired with an external hard drive even multi terabyte external hard drive are fairly affordable amp easy to set up hope this helped,-0.058219336,-1,0,-1,
495,create your acc here and get more space,0.341011199,1,1,1,
496,great video many thanks,0.044025433,-1,0,-1,
497,really useful for beginner,0.111969697,1,0,0,
498,so i could download them back on any device,0.097703057,-1,0,-1,
499,yes that wa not completely obvious wow,-0.000887807,-1,0,-1,
500,i never share my file my email who is sharing with me i do not know how did ifind out who is sharing my email my file,0.152575378,1,0,0,
501,what i wan na know is if i delete the app from my phone will i keep the photo video saved on the app if i reinstall it on the phone,0.124276696,1,0,0,
502,alexander veryown if u delete the app u will still have ur picture and video safe just remember ur login and password,0.163188184,1,0,0,
503,nice video,0.047476326,-1,0,-1,
504,so the person i want to share my file with also have to apply for dropbox than we need to sync our computer am i getting this,-0.053115981,-1,0,-1,
505,maybe late answer but no if you are a dropbox user and you share a file on dropbox with a non dropbox user they click the link and have access to the file no need for them to sign up but dropbox will not miss the chance to encourage them to sign up hope that help,0.161060606,1,0,0,
506,how can i upload a dropbox file that is an audio onto youtube i use andriod phone help please,0.039642857,-1,0,-1,
507,this vid is not clear,0.142855854,1,0,0,
508,neither is your comment,0.23270202,1,1,1,
509,john bates thanks for the feedback how can i improve it for next time,0.170438672,1,0,0,
510,i didnt download it idk whats going on tho,0.25,1,1,1,
511,dropbox dropbox dropbox dropbox tw yahoo com tw,0.144306586,1,0,0,
512,really enjoyed your video you explain thing in a clear and interesting way thanks,0.129961821,1,0,0,
513,dave carey thanks very much,0.267857143,1,1,1,
514,great and considering but do third party have access to my file,0.267857143,1,1,1,
515,thomasucc they do not unless you share,0.165106421,1,0,0,
516,hi thanks for the info i just subscribed i have a quick question i am using drop box to move video from my pc to my ipad for igtv i am looking for clarity on how to directly download the video from drop box and save them to the ipad so igtv can access them any help would be great i am just learning the drop box rope,0.044970862,-1,0,-1,
517,very useful video thank you,0.512825659,1,1,1,
518,thank you for the easy to understand video dropbox seemed confusing but you made it clear to me great video,0.024603175,-1,0,-1,
519,you did not address the key issue of security and how you can limit viewing of a file,0.113020833,1,0,0,
520,i understand the idea of uploading file but i like to remove the file from my laptop hard drive once i upload to dropbox and still have access to the file anytime i remove a file from my laptop hard drive i no longer can not access it via dropbox am i doing something wrong,0.100462963,1,0,0,
521,jose f rodriguez that is odd try to see if you can somehow unlink dropbox and your computer that is the only reason they are sync deleting but that should only happened with the computer app i am not sure how to unlink them in your case,0.095833333,-1,0,-1,
522,i appreciate the fast reply a you suggested i am using the web app version but it is still on the hard drive and if i delete it from the hard drive it also deletes it from the dropbox again thank you for your quick response,0.119791667,1,0,0,
523,jose f rodriguez when the computer is synced with dropbox whatever you do on your hard drive also happens in dropbox they only way i know around it is to not sync your computer and dropbox and basically use it a a web app so go to dropbox com and upload file there i really do not like how that is set up but do not know a way around it you either have to use it that way or have it sync up like i do which make change to dropbox locally and in the cloud at the same time which doe not sound ideal in your case,0.114166667,1,0,0,
524,how to upload email to dropbox paid dropbox pro,0.100462963,1,0,0,
525,cloud storage is useful but it ha many confusing and competing alternative,0.036458333,-1,0,-1,
526,dropbox is not reliable they have been disabling paid user account for no reason many people lost their life picture and file just search about it it is the worst company in the world,0.113020833,1,0,0,
527,egnyte is the best,0.079861111,-1,0,-1,
528,how did you transfer your file from aws to dropbox,0.159895833,1,0,0,
529,appeal exactly my photo were stored on amazon is s3 one of aws is many service but i also had them all on my pc a well s3 wa a backup so all i had to do wa copy them into my dropbox folder and dropbox dutifully uploaded them all it took a while once that wa done and i wa satisifed i removed them from s3,0.150694444,1,0,0,
530,ask leo tech confidence amp solution i do not understand your answer i thought you said that you used aws to store your file did you download all 3tb and then re upload the photo to dropbox or did you find a service to transfer them directly in the cloud,0.0475,-1,0,-1,
531,which aws service typically you install dropbox on your pc and download place the file you want into it then you can later delete from the originating service after backing up of course,0.15625,1,0,0,
532,used it for year but not in love with having to be connected when in an off grid situation yes you can have separate folder but defeat purpose selective sync suck,0.114166667,1,0,0,
533,mega is also very good no complaint beyond a niche exploit they duly disclosed and fixed,0.102083333,1,0,0,
534,can dropbox synchronise on android that is the big one for me most company do not understand android saf and hence do not implement folder sync it is possible a some service do it without any problem like syncthing,0.204166667,1,1,1,
535,ask leo tech confidence amp solution there is seemingly such a third party app for every other major cloud storage provider out there i think they are from the same company mega also ha such a third party app available i do not understand why people at large company find saf so hard to understand while syncthing and that company make it look so simple without having a lot of resource at their hand thanks for the reply,0.324305556,1,1,1,
536,the dropbox app work on android but it is cloud access meaning that the file are not stored on the android device this is pretty typical for these kind of cloud service however there is another android app that i use called dropsync which explicitly sync is dropbox folder to local folder and vice versa it is nice because you can select specific folder rather than mirroring all of yoru dropbox to your phone,0.125,1,0,0,
537,it wa many year ago but i dropped dropbox when they promised not to give access to your file to third party but were doing so now one drive system integration ha just been horrible so i could never use that either i am sure dropbox is superior in practice,0.125,1,0,0,
538,can you provide a link to the boxcryptor alternative,0.104166667,1,0,0,
539,,0.142708333,1,0,0,
540,i have found sync check off all the same tick mark and with the solo plan you get more storage for le money than dropbox is plan i will admit it is a tad slower in performance than dropbox but because it ha end to end encryption with zero based knowledge it save having to use encryption utility like boxcryptor i am not a sponsor for sync i just personally think it is better for my purpose,0.166666667,1,0,0,
541,how abot pcloud,0.153125,1,0,0,
542,i am interested in how you index your photo and the people in those photo so i could search for picture within a date range that contain my grandmother,0.058333333,-1,0,-1,
543,dropbox video quality distorted waste of time,0.058333333,-1,0,-1,
544,what is the best video on using dropbox i use to use it 20 year ago but it became complicated so i quit using it maybe i am just too lazy i never need more than the free storage amount just file sharing so i can travel without a thumb drive,0.097222222,-1,0,-1,
545,best part about dropbox is now with acquiring boxcryptor they will have end to end and zero encryption,0.142708333,1,0,0,
546,only thing i hate about drop box is the piss poor 2gb of space for free user they really could not have given u 10gb,0.142708333,1,0,0,
547,i have done some photo of dog when i send a link over google drive and they open it it is lower quality than on my computer or phone any help on this,0.059375,-1,0,-1,
548,i am very fortunate and google ha been kind to me lol my phone plan includes 100gb of drive which i apparently had for month and just found out about and i use a pixel and they have unlimited cloud photo storage,0.204166667,1,1,1,
549,i always thought onedrive wa a joke for them not offering a 2tb like dropbox but i can understand how annoying onedrive can be when stuff doe not work,0.155479163,1,0,0,
550,why is it that neither drop box nor google drive will upload video from my iphone it is a 28 min video and it is been uploading for 2 day can someone please tell me,0.165886582,1,0,0,
551,i wonder if maybe it is your internet connection sound like the video file may be too big for your connection to handle smoothly,0.153159384,1,0,0,
552,i have have nightmare with sharing link for client to upload to their folder with dropbox anyone have experience with that,0.068894954,-1,0,-1,
553,yes me i have had a hard time my client can not open the link despite me sharing them both by file and email link,0.259606941,1,1,1,
554,dropbox is the worst it charge everyone you share a file with it file access not storage,0.283955387,1,1,1,
555,josh whedbee thats exactly it both pay for the same storage twice,0.008612419,-1,0,-1,
556,the video make it sound like dropbox is better but the sharing aspect is confusing let is say i send file to a client do they really need to make an account and pay a monthly fee to access it even if i am already paying for it to be stored in my own dropbox folder if that is the case then that is really bad client should be able to send me some footage and receive the edited version without paying a monthly subscription fee,0.148546691,1,0,0,
557,i just tried google workspace and it wa a nightmare,0.246525974,1,1,1,
558,drive absolutely blow on m1 mac can not search at all dropbox ha full search capability google say it is impossible to search cloud storage on m1 mac kinda weird that dropbox can do it but google keep making excuse,-0.017900162,-1,0,-1,
559,google drive desktop client doe not show me the shared with me folder and so i just completely do not get the point of even having a desktop client if it doe not 100percent mirror the browser i only like google drive for collaboration on sheet and word etc but sharing file with client it is the worst dropbox all the way but i have to pay for both to keep those drive client happy,0.190044192,1,0,0,
560,even though drop box ha a much better interface and is much faster when opening and browsing through file the google ecosystem which includes the google photo google doc spreadsheet and alot of other product linked with your google one storage make google drive the right choice for me,0.153665224,1,0,0,
561,damn dude i am with you that dropbox is better i freaking love dropbox paper but you have a neigh pathologically low bar for thing to conflate into serious problem to whine about in a free or super cheap service come on now using youtube profitable and optimized for video streaming a a comparison to a free google drive account loss leader archive cloud storage to minimize loss per free user for instance is not at all reasonable that is like complaining that the truck you rent for dollar19 99 from lowes to move some lumber can not keep up with the miata your neighbor lease,0.261014911,1,1,1,
562,2 10 i fell it so hard i paid 100 gb on google drive for 1 year and fu ing try to delete a 50 gb folder in google drive at first it take like 10 min to load then you test if it is deleted reload the page and it is still there so bad,0.217044978,1,1,1,
563,yeah deleting stuff should not be so difficult,0.331439974,1,1,1,
564,i think the only pro for dropbox is faster backup amp restore when using wordpress restoring file from google drive tend to pop up annoying error,0.062690226,-1,0,-1,
565,finally someone talking sense,0.148893699,1,0,0,
566,in my opinion if you use it for work just pick the thing that most of your client use it would just be easier for the both of you that way because both of you are familiar with it,0.120431999,1,0,0,
567,i am trying to get a service where i can upload video and my teammate would download the footage edit it and reupload my video but with dropbox do i have to create a username email for u to share or can he use his dropbox if he is not paying for an account would it work,0.042777778,-1,0,-1,
568,same here,0.184341856,1,0,0,
569,stop using dropbox start using mega is cheaper and more secure than dropbox and gd,0.190021645,1,0,0,
570,why,0.191663285,1,0,0,
571,obviously not a tech person a sale person,0.089737554,-1,0,-1,
572,i ve been using dropbox since it launched to sync file across my different device i have 10 free gb of storage never had a complaint until i learned i can only sync 3 device it not enough nowadays im swuitching to drive,0.199988636,1,0,0,
573,good job thx,0.011801948,-1,0,-1,
574,dropbox is nice but a people have noted it is certainly not perfect,0.192417478,1,0,0,
575,i will agree if you are only backing up your computer drive bavkblaze is the way to go i am using dropbox now more a a solution to deliver photo and video to client and cloud storage is the plus to me,0.284339489,1,1,1,
576,also dropbox is way faster to start compared with drive,0.161117424,1,0,0,
577,f ck dropbox there is certain phone device that can not access my dropbox open access link i do not know why is that google drive seems to have no problem with link sharing,0.160578002,1,0,0,
578,i love icloud just work i am all in their ecosystem,0.156318768,1,0,0,
579,dropbox is seding email saying i am over my storage capacity so they want me to pay dollar155 a month lol i rather pay 20 a year to google by the way i never downloaded dropbox or have used it i am trying to uninstall it so they stop bothering me,,-1,0,-1,
580,lol thats spam likely dropbox is 33dollar month for unlimited 23dollar month for 5tb now canadian,,-1,0,-1,
581,craylor made sound like it,,-1,0,-1,
582,dollar155 a month that is strange maybe it is spam mail and not actually dropbox,,-1,0,-1,
583,mac user will say dropbox is better window pc user will say google drive is better simple a that,,-1,0,-1,
584,i am a window user and love dropbox i have to use google drive for work and there is no comparison dropbox win hand down,,-1,0,-1,
585,i use window and dropbox is my jam,,-1,0,-1,
586,im a mac ipad etc user and i like drive better because of schoolwork i do have a gaming pc but i hate sharing file to and from it unless it social medium related meme so i do not really see it a counting,,-1,0,-1,
587,likely because mac user are usually creative collaborative business professional and student whereas window user are typically just your average consumer laypeople or gamers window user do not really need a high tier cloud storage platform they mostly care about budget over function,,-1,0,-1,
588,plus when i used google drive for a few year across multiple device my file always got duplicated so frustrating i think it ha some serious syncing bug when used across multiple device,,-1,0,-1,
589,and i can never easily find my file if i scan them from a wifi printer but that could be my lpusy printer,,-1,0,-1,
590,that is really annoying nothing but bug and glitch from one of the top tech company in the world,,-1,0,-1,
591,i use google drive for my side hustle,,-1,0,-1,
592,computer boy 2 gb,,-1,0,-1,
593,soleful mind cool and 15gb for free dropbox is only 5gb but rest is pay for i prefer google drive at the moment with my workflow,,-1,0,-1,
594,same here,,-1,0,-1,
595,in germany you are not even allow to store client data at company server like google noprivacy,,-1,0,-1,
596,4 29 i do not think so i tested it and there le latency in streaming the only thing i do not like google drive is the ui and no vault,,-1,0,-1,
597,dropbox is pure garbage no storage offering should make you log in to access a shared folder secondly a stated previously my ability to upload to the sharer is folder is dictated by the amount of space i have i could have a free account with no file on my drive but if people have shared file with me that count toward my storage space what this is a shitty business model designed to make you either subscribe or upgrade to the service no thank you i will stick with google drive and m one drive who allow me to view edit file with no account where my storage ha nothing to do with the sharer is storage,,-1,0,-1,
598,syncthing nextcloud on a raspberry pi 4,,-1,0,-1,
599,s patt fo cf are often published by the people that fix them closed source cf are more like a noise complaint or calling the cop on your neighbor for not mowing his lawn for example in 2019 dropbox had a severe window cve that could easily allow a full system takeover and took so long over 90 day to fix it mcafee had to step in and also microsoft,,-1,0,-1,
600,in 2021 there have been 14 vulnerability in nextcloud with an average score of 6 2 out of ten last year nextcloud had 13 security vulnerability published,,-1,0,-1,
601,wait you did not mention the worst part about dropbox when sharing the receiver ha to have just a much space a the sender,,-1,0,-1,
602,preach that is essentially double charging,,-1,0,-1,
603,craylor made that make no sense i am sharing my file with you so i use my space requiring all party in a collaboration to have available space is literally charging for the same amount of space twice in google i pay for 2 tb and i can share that with people in dropbox if i want to share 2tb with you you must also have 2tb that is literally double charging,,-1,0,-1,
604,this is the absolute worst part of dropbox it is hard to collaborate and share file with client upload to a shared folder it is insane to me that i have to have storage on my account when i am uploading to their folder,,-1,0,-1,
605,michael reineke really,,-1,0,-1,
606,s patt google is ai keep deleting my reply so i will just say syncthing doe most of what people use cloud storage for,,-1,0,-1,
607,i am really happy to hear dropbox is finally adding end to end or zero encryption to their product,,-1,0,-1,
608,dropbox can only sync upto 3 device suck,,-1,0,-1,
609,google drive is sync is complete garbage in window 10 even with a fast internet connection it work poorly with office apps constant bug onedrive force you to sync unnecessary file and is invasive,,-1,0,-1,
610,can not install one drive on external hdd on mac which is really taking up my precious mac book space plus one drive doe not sync properly,,-1,0,-1,
611,thank you google is getting horrible with it is customer support i am switching to dropbox,,-1,0,-1,
612,i have done some photo of dog when i send a link over google drive and they open it it is lower quality than on my computer or phone any help on this,,-1,0,-1,
613,no privacy me synced my password diary and all my family is information and doucments i know in onedrive,,-1,0,-1,
614,that why i only stash porn in my google drive,,-1,0,-1,
615,make sure they see it all,,-1,0,-1,
616,bro are you the guy from fitonica,,-1,0,-1,
617,onedrive is the only choice for family so that each person can have their own account and storage each user account on a shared pc ha it own separate onedrive folder that is signed each user is m account pcloud ha a family plan but i have not been able to find out how it handle multiple user on shared computer no information from the company not any yt tutorial from user,,-1,0,-1,
618,file selection and handling and thing like search function they are all hopeless in drive and what probably stand out most of all is anything in term of a setting menu,,-1,0,-1,
619,i have all premium version of them personally i only use google for photo and school assignment i use onedrive for the suite of application and for pc file management and use dropbox for everything else i also have the free version of mega for my sensitive file i do not want shared it took quite some time to build my cloud setup what do you think,,-1,0,-1,
620,how do you backup all of those cloud or do you just had 1 copy each,,-1,0,-1,
621,content consumption v1 haha yeah i totally get you honestly i like having them all in separate place but i totally get where you are coming from,,-1,0,-1,
622,a you will accumulate more and more storage would not it become difficult a in time and mental resource to properly organize file and folder in each cloud platform while on the other hand having only one cloud platform would make everything comparatively far more easier if i were in your shoe i would get lazy after a while and start uploading all of the file in one cloud platform instead of segregating them properly anyways i love that other people like you keep their file and folder organized a well it is not only just me lol,,-1,0,-1,
623,onedrive for family is better deal among 3 though need separate user 6tb for dollar8 4 m is cool,,-1,0,-1,
624,tx for this review i am a dropbox and drive user and agree that drop is better than drive overall however one thing which is highly irritating on dropbox is that it doe not allow renaming file saved via the phone app drive doe there are many complaint about this on their user forum but they do not seem to be working on developing this,,-1,0,-1,
625,the choice is simple a all three have free version then use all three i sure do,,-1,0,-1,
626,here in india we get onedrive for business with 1 tb storage for just dollar1 93 per month i use it,,-1,0,-1,
627,opendrive,,-1,0,-1,
628,,,-1,0,-1,
629,filen zero knowledge end to end encrypted cloud storage,,-1,0,-1,
630,what is the best and secure cloud storage,,-1,0,-1,
631,by it very nature cloud storage is not secure if you want absolute security your one option is to physically store the data on an offline device such a an external hard drive and encrypt the data,,-1,0,-1,
632,filen,,-1,0,-1,
633,sir please make 1 video best email provider,,-1,0,-1,
634,thanks for these,,-1,0,-1,
635,did you enjoy this video will you please hit the like button ty 1 get pcloud best overall 2 get sync also great,,-1,0,-1,
636,pcloud at currently is premium with a discount gbp399 for 2 tb that is gbp33 35 per month m one drive is gbp79 99 per year for 6 people for 6 tb each person get 1tb each or or you can get a na,,-1,0,-1,
637,i have used all of these and the are decent about 6 month ago i found terrabox and i love it they offer 1 terabyte for free and u can even expand on that by watching ad n whatnot not sure about security but a far a actual space terrabox is legit my favorite,,-1,0,-1,
638,google drive ha version control feature too not just pcloud also google drive and one drive likewise have auto backup url and other sharing option too so i would like to suggest having those listed a s tier too a everything listed a a perk for pcloud google drive ha plus google drive and one drive ha more memory integrated colab tool and other feature such a web interface i feel you were too biased against them,,-1,0,-1,
639,the condition in this application have changed dramatically it wa 100 gb for free and now it is some 20 gb and much more for the worse and it will not work without vpn definitely do not recommend after a while my account wa blocked and all the photo that were there were deleted it is better not to risk your multimedia bypass this application delete,,-1,0,-1,
640,i am sorry to hear that could you specified wich one wa,,-1,0,-1,
641,thanks for the review extremely helpful what specifically do i need to do to get the discount thanks jeff,,-1,0,-1,
642,onedrive the best is excelent,,-1,0,-1,
643,ye s,,-1,0,-1,
644,such a great informative helpful video i enjoyed watching it,,-1,0,-1,
645,i am not sharing my info with the law period it is none their business,,-1,0,-1,
646,thanks,,-1,0,-1,
647,proton drive best for encryption,,-1,0,-1,
648,user of the free mega account used to often complain that their file suddenly disappeared or turned out to be empty ha this problem been resolved do not know i have been using mega for a week now and there are problem i use multiple computer at work the cloud synchronizes data between them several time for no reason the application did not start or started for 2 second and turned off i had to reinstall several time it is not convenient and for me it is a risk,,-1,0,-1,
649,i think you use android phone,,-1,0,-1,
650,the sync option with unlimited storage for 15dollar per month is what i wa looking for perfect a redundant copy for my na thanks for the video,,-1,0,-1,
651,thank you for putting chapter on your video,,-1,0,-1,
652,so in 2012 dropbox had a convenient issue while the big globalists backed company needed to take this market and then we are to remember that while dropbox basically showed everyone the way seriously in 2008 all this wa available in dropbox and all the other one were not even thinking this wa a thing dropbox it is let them catch up,,-1,0,-1,
653,i am just wondering whether the referral bonus program of these service influence the objectivity of your review,,-1,0,-1,
654,i trust chinese govt more than the u amp eu together,,-1,0,-1,
655,icloud suck as p s nobody need vpns they are telling you bullshit all the time,,-1,0,-1,
656,icloud is a good cloud storage,,-1,0,-1,
657,what is the problem with mega to put it in b for me it is s tier since you have zero knowledge encryption for the entire storage and ha basically everything u want for good paid plan,,-1,0,-1,
