,comment
1811,nice vid but can we talk about those sick edits at the beginning
1812,the new watch ha a better presentation than the new iphone 2 day of battery life is sad when huawei best watch ha a 14 day battery life with all the same feature a this new watch
1813,could be fun to use a a pocket watch
1814,people asking me why i am not buying an apple product i told them because i am not idiot
1815,not too bad but imma keep my oneplus cobalt watch seeing a it doe everything i need it to and it can last 10 to 12 day dependant on heavy usage
1816,almost all of the population doe not need any kind of smart watch
1817,apple pro hustler d save that dolla
1818,two day and two night dude been reading the bible
1819,what is that scar how did you get it
1820,this watch cost more than the original iphone
1821,let meet please how long are you in nyc for
1822,my biggest question is what do you drive that is not a steering wheel
1823,it is a tesla i do not know which one but one of the newer one
1824,what about the battery health kind of like on how iphone you are able to see if it is healthy or if it is time to be replaced that is what i want on android instead of guessing when you need a new battery it will just tell you the battery health of the matter i want to see that in the android please make it happen
1825,what doe mkbhd stand for
1826,apple is worth nothing double any spec from apple lower the price by half and you will get huawei good luck burning money with apple and tesla
1827,off topic but that catch wa sick
1828,a a heavy equipment operator mtb biker crossfitter occasional bodyguard whose starting to dabble in camping and hiking this is what i wa looking for in previous model weather it wa climbing in and out of equipment trying to hear phone call over the equipment banging the screen on weight and bar inadvertently falling off my bike on trail taking down crazy fan or attacker who rush the client well done apple well done cue standing ovation
1829,0 08 1 800 calorie that is absolutely nothing
1830,another useless gadget maybe
1831,i fault your logic that only a fraction of watch user want the feature you are most excited about battery life i would argue that every single watch user would appreciate having that same battery life i think every user can take advantage of longer battery life not just pro user apple just chooses to charge a premium for basic feature that should be free i also think any user would appreciate ruggedness think your average high school or college student imho it is a rip off if you consider the dollar450 competing delivers pretty much all of those at half the price
1832,can you do a review on the latest garmin smart watch
1833,whatever info i know about tech come from you i love watching this channel the only thing i want is to work with you when i grow up
1834,marque is review are getting kinda lame recently in term of verdict
1835,until they do not make it solar and black i will not buy
1836,nah you would be healthier without it
1837,graphic are amazing
1838,earned your like already 20 second in
1839,nah
1840,you forgot about the group of people who do not do any of those thing and just buy the most expensive thing apple offer for drip point or whatever
1841,i am wondering how much it cost to replace the screen and whatnot i am getting the watch and want to skateboard in it if it break i hope i can replace the part for a reasonable price
1842,if we are honest this is the range rover of watch a very small fraction of the people that will buy this will use any of the extreme sport feature and even those that do will be exactly like yourself weekend warrior not professional diver or alpinist i expect those extreme sport activity occur over many week or month most extreme sport athlete i expect use a heart rate chest strap a it is much more accurate than a wrist based one the super vibrant color screen kill battery life that is why the high end garmen watch are black and white which doe not sacrifice function over form also the ergonomics of the watch are laughable at best they really need to work on their hardware instead of software but most tech company are not good at that which is why tesla remains one of the most unreliable vehicle on the planet this is a classic apple money grab plain and simple and those that do not see it are probably just apple fan boy
1843,hilariously big based on how it look on mkbhd is wrist i am gon na pas
1844,32gb ram on a watch can we game on it haha
1845,only if it is girl value i like old school bike for 800 and then in 3 year it is about dollar5 000
1846,for the record the old samsung watch got two full day and two full night that actually last like 4 day just sitting there but if are doing a lot of thing with it then no last two and a half full day also the screen is really bright a a matter of fact is brighter than that but i feel like he ha to say those thing
1847,honestly the apple watch look like those cheap as watch used to get back in the day a a kid that only cost dollar1 or dollar0 25 it is not a good look it doe not look impressive however that samsung watch doe look impressive i am not just saying that because i am a samsung person i do like apple and i like this watch however the look is terrible and they should really stop going for that look it look like cheap watch whenever i see people with those watch i remembered the cheap costing watch you find at the 99 cent store or even a dollar general at least samsung ha the look that everybody want when it come to watch for example if you go to a swap meet and get a cheap dollar20 watch you could guarantee that that look more impressive than the iwatch they have color that you want metal and more metal and they look premium there is no freaking way that if anybody saw those watch they would think you had a lot of money whenever you see it i watch from a distance it look like a cheap costing material when all the kid would know their eye watch but you are 27 then you know it is that s look like a f piece of crap watch that you get a 99 cent store
1848,you are missing another group i just like fancy stuff hah i wa looking for a reason to upgrade and more durable bigger battery and new party trick wa just what i needed
1849,i consider myself a pro but gave the pro airpods to my wife and got the new regular airpods when they released i do not regret it at all since i do not like it when they go all the way in your ear bosse still ha the best design with the inner lip for comfortability
1850,i think the idea behind the pro is because this actually is not a pro watch the stainless is the same watch but more luxury same price i do not think they want people confusing the titanium with better when it is just designed towards active people with certain need whereas if you want those feature but you are a guy who is closing acquisition or something there is the stainless
1851,not bad although my garmin fenix 6x pro solar still get about 22 day of battery life it track my workout 6 day a week my sleep every day us gps on my run ha actual map is far more resilient more water resistant more shock resistant more everything resistant and the new one have even more battery life and the tactic version is infrared or night vision compatible apple make a nice watch but they will never come close to garmin
1852,they will not come close to garmin until they change their screen technology oled or whatever it us eats too much battery that is what i have heard at least love my garmin
1853,i have been waiting on a smartwatch to be able to be completely independent or i can make phone call and text and hail a uber or lyft from my wrist i want to get away from having a physical phone if i could do everything from an apple watch that is what i am looking for now if i need to browse the web and whatnot i would have a tablet if i need to take picture to i would go back and get a actual camera but to do everything else that would be cool to not have a physical phone on me and do all the thing i could do on my wrist
1854,what the heck is that on your shirt
1855,the space x shirt
1856,what about the ppl that just want crazy battery life lmao
1857,dude let me download wtf mkbhd disappointed in you i live in a country where internet access is not always available
1858,calorie count on the apple watch and many other device are generally overstated by about 50percent i have tested this many time in many way and when i am calorie counting i multiply the amount on my apple watch by about 6 at the end of a workout to give myself a picture of what i probably burned for example i estimate that at my age and weight i burn 500 calorie for an hour of intense cardio sweating like crazy running or stair i probably burn 300 to 350 for an hour of super intense weight lifting my watch will consistently tell me my burn is 800 and 500 calorie for these respectively i have even adjusted my weight downward in the watch to change the calculation and it doe not help much to test this on your own find a good website for what you probably burn doing exercise and compare this to your watch i know this is not the point of marque is video but his calorie count at the beginning of this video triggered one of my gripe with my watch and with calorie racking on most device
1859,all that feature are great and all but if it only going to last 2 day is a pas hard pas
1860,it is an ultra and not pro because it isn t for professional use it is for hobby user with more money macbook pro imac pro iphone pro these are for pro user a pro scuba diver or pro mountain hiker never gon na take an ultra
1861,for 800 buck u can get into the swiss watch game tissot hamilton brand like that i really like the concept of this smartwatch but the idea of a smart watch doe not appeal to me in any way like a mechanical wristwatch doe
1862,bro it is not pro a they made it strong for ultra user pro is for professional people who need more performance but not strong ultra rough and tough hardware plus there ai not anything like more performance in an apple watch so yeah they made an ultra plus it is the only device that help you the most in emergency so they they made it rough and tough than more performance and ram and all new apple watch have most feature so no ned for pro pls like and comment if you agree
1863,should have been apple watch pro max why go samsungs route and the same with samsung they call they high end watch pro now should have been galaxy watch 5 ultra
1864,it is going to be a definitive nah
1865,marque i love the aesthetic that you put in all your video but wtf wa that drawing jk love you man
1866,i prefer my garmin fenix and i wear that not only for work out but all the time maybe i should get the apple watch to wear it once every other month while i have to charge the fenix
1867,when the music started i started to look for other tab that i might have opened by accident weird outro
1868,just say 48 hour
1869,he is a watch guy that hodinkee john mayer edition
1870,fun fact samsung released the latest galaxy watch 5 pro i feel like apple released the ultra to fire shot back at samsung
1871,4 17 get casey neistat to paint it after all he is back in nyc
1872,massive garmin do not lie please
1873,look like trash tbh would prefer series seven any day
1874,i am sorry but this watch is made for men i have the the 40mm watchse and it fit well this ultra one is ginormous it is not fair for small wrist person
1875,i would love to see the next year is galaxy watch 6 pro challenging this year is apple watch ultra
1876,being hyped over an dollar800 smart watch lasting 2 day is not something i will ever understand i have a huawei gt2 pro that cost a tenth and run for two week straight no issue track my sleep and my workout just a well sure the apple watch may have feature like running fortnite i would assume but the test you have made only cover 2 basic function all smart watch nowadays offer for le lasting week on a single charge
1877,after selling my one kidney i can easily say this watch wa worth it
1878,that watch look soo good if i had the money i would buy that thing right now sadly i do not have
1879,i already decided not to buy it but still sat through the whole video speaks so good so easy to listen to
1880,why do not they come out with a pro max apple watch in making the screen size more larger too since they got the 12 13 and now 14 pro max not ultra i can not wait until they come out with a 8 inch foldable iphone like it is competitor samsung for a change instead of the same boring shape and size all the time
1881,you wear your watch on your right wrist
1882,you wear a watch depending on what your main hand is he might just be left handed or he might not like the crown to stab his hand
1883,man your intro graphic really is amazing
1884,just get a garcin forerunner
1885,marcus always ha the best review and apple always make good product
1886,give me a watch that is shoot laser and i will buy it
1887,they should have called it the apple watch explore
1888,apple is real talent is making money the only dollar800 watch i will ever use is the mudmaster
1889,nah
1890,0 17 nice
1891,waiting for the airpods pro 2 review
1892,this is a poor man is garmin pro in my opinion in term of the perfect adventure watch if anyone is considering a watch for activity sport tracking then you would be mad not to consider the garmin fenix range the battery is still dreadful compared to my garmin nice style here from apple though but they are far away from a real sport watch still
1893,we know the new iphone 14 pro and max ha the chinese chip in it but doe that watch ha it a well
1894,no fiuck your stupid as drawing everybody need ruggedness feature battery
1895,i have never wanted a product le than this one completely useless to me
1896,in my opinion the apple watch ultra gen 1 isn t good enough good for pro scuba diver and for pro hiker i don t know how good it is for pro trial running i m pretty sure gen 2 or gen 3 will be much better but gen 1 is only for hobby diver and hiker
1897,a someone that sometimes take bath or go for a walk i probably do not need this
1898,the background and aesthetic are not a good a it wa once
1899,hey that is your personal opinion regarding the look and size a a tech reviewer you should state doe this watch check all the box for the ultra user
1900,most of these feature u do not need in daily life i hope u guy should focus more on that whether whats necessary or not
1901,if you turn on the workout app on your apple watch and went to sleep you will wake up to find that you have burned more than 1000 kcal test it out mkbhd with the same workout you used to record your frisby play
1902,lol thats pretty good thats two day and two night what a way to give additional point
1903,the production quality of your video keep getting better and better love it
1904,to be honest dollar800 is only slightly expensive on the grand scale of watch
1905,the true why they do not use it because of the price
1906,apple watch garmin pro
1907,not expensive enough for a pro name
1908,hi i do not think it would be the same after an year or 6 month what is your experience i used apple 1 2 and then stopped now
1909,this is the first device that is beyond any tech reviewer aka ultra none of ya can actually review it
1910,but is there a feature to delete all on text rather than 1 by 1
1911,this thing is ridiculous
1912,it kind of ugly to me
1913,i have a fossil 6 i wanted a samsung both the same price but doe not work with iphones the battery barely last 24 hour on extended mode i can not afford a dollar800 watch
1914,bought this and returned it the same day decided to just get the i watch se
1915,anodize it yourself
1916,it also show where apple is heading to flat screen and edge in watch too
1917,that thing look like the watch inspector gadget used to wear in the 1980s go go gadget watch and ultra is a cool word to the anime kid so had to use that instead of pro because logic hahaha awesome video a always those transition when showing the different feature whew buttery
1918,can you change lap while running with the press of a button
1919,hey bro why you do not talk about all the bug packed on the new iphones because the pixel one or the oneplus late update ha been in every review you did from them you are cool bro but this channel is not a objective a it used to be
1920,how did you get that gnarly scar
1921,nice
1922,lol toy company who would go trekking for day with this
1923,i love apple watch i left for garmin because 22days battery life and map over path in forest apple can not do that apple messures tvings thats not realy is important and just stress people
1924,i would love a video on the best watch to get i am on a budget and i have a samsung i love apple but i would enjoy a best watch to get type video
1925,record scratch sound nice pen at 8 25 ish love those pen my favorite all time nice review also
1926,what kind of pen is it
1927,what is that hideous thing surrounding the crown ew no thanks
1928,start video by going over apple watch ultra first thing i notice is the tesla
1929,apple watch ultra 3 4 day use garmin huawei samsung and etc
1930,is marque a lefty
1931,at the beginning of the video the watch wa on theater mode that is why the battery lasted so long
1932,do you have notification on i feel like the notification kill the battery life
1933,who the fuck wear the watch on the right wrist and randomly put it on the left wrist super odd
1934,that graphic music intro damn
1935,meanwhile galaxy watch4 with around 5 day lit of the box battery hmm
1936,nah
1937,bro where is the airpods pro 2nd gen review
1938,i would love apple to make a smartphone slightly bigger than this ultra watch so that i can just hook it with a carabiner with a spring and hang it on my trouser is belt hook can even hang on your shoulder bag or wear it on your neck like a stopwatch i think we need smartphones to change shape for diff usage style already i would trade my pocket phone for that
1939,markass brownie
1940,i am holding out on orion is wrist computer from chuck
1941,that battery life and screen alone is reason to upgrade i bought one and love it
1942,i am a pro airpods user bc of the tism need that anc big time
1943,you have a tan line on your wrist
1944,i do not watch his video for just only review anymore but is like a story now
1945,samsung wake up and listen get your samsung galaxy watch pro together it is to small not enough feature and you knuckle head took away the rotating bezel damn you samsung
1946,to expensive wor what it doe no thanks
1947,thank you for this amazing review
1948,mark as brownie
1949,what is that cherry blossom like bonsai on the left look dope
1950,i saw so many hype chaser buying this watch on friday people that will never use any of it potential i am getting this watch for the fact that i plan on becoming scuba certified but mostly because i hike a lot and i see the waypoints feature saving my life last year i wa in the desert in california and wa limited to walking in a straight line to avoid getting lost in the dune had i had this watch i could have retraced my step and gotten back to safety having it for it new cool factor ha no bearing on me
1951,i do not do any of that sport stuff and i work in it i do not need any of those top end feature but i got this watch anyway because the battery and size i have wanted one but never liked the smaller one battery for battery reason and the material
1952,the only reason i am getting and want the ultra is the size i like be a pip fatboy on my wrist
1953,funny when people get stuff for free the complain
1954,amazfit for the win ultra there will be the ultra pro next year
1955,imma wait for the ultra pro max model
1956,imagine solar panel under the display that would be a game changer
1957,why do you switch wrist
1958,marquise you do not get any issue from sleeping with the watch on
1959,can you play pandora on the speaker
1960,bro so go for you bro for iphone 14 is the best one today is cool
1961,they should have made it so it track your distance within your sport
1962,look fine
1963,thank you for illustrating what a hiker doe with a shot of you walking lol
1964,anyone know where to get that t shirt
1965,i just watched the iphone 8 from apple and it doe all the same thing my iwatch 4 doe when it ha a camera then i will be impressed
1966,hii marque need one help
1967,seems a watch for poser
1968,you are right in the middle of those circle
1969,for a guy who strictly review tech there is another level of comfort in knowing marque also ha great taste in pen
1970,800 dollar for a watch is crazy
1971,not really til you account for the strong dollar
1972,it is a watch for people from the inside who think they are anywhere near the outside same people that spend 10k on a bike while being overweight
1973,did you have display on through your test
1974,make for a nice flashlight if you need it
1975,aluminum sapphire and orange band seems a page from garmin fenix watch
1976,doe it have an always on second hand other apple watch do not have that feature
1977,is marque left handed he put watch on his right arm like i do and i am left handed
1978,dress it up
1979,the ultra give me the thing i wanted why went to garmin the action button when running i wanted to start stop with a physical button and not do multiple touch screen gesture while i see this watch competing well with the top tier garmin model out there cheaper one will still have their place
1980,i really would like to have this ultra but it cost the double s8 and since your explanitaion wa very good i belive the s8 it will suit very nice to my need and work out thanks for the video
1981,i would love if apple do minor version of this one 45 mm would just perfect
1982,nice
1983,it almost biologically impossible to burn 2k calorie in 3 hour lmao you would have to be doing hiit and it just not possible to keep it going for 3 hour lol
1984,i really like this review the illustration pointing out who would be more fit to use the watch help me understand if i really need this watch ultra
1985,did you take your shower
1986,yes worth it just for the extra battery life
1987,hi marque they have come long way to still i guess little more to catch up with garmin especially if you consider battery life and more accuracy obviously the integration of apple ecosystem in cellular version like ultra which is edge over garmin and the ecg or body temperature but still little long way to catch up on the mentioned thing and ruggedness hopefully they will catchup soon till then i am on garmin fenix pro solar series what do say about that
1988,2000 calorie burned every day
1989,here the million dollar question which will prob happen first big issue with it is it not for all wrist n they will lose purchase due to that reason alone also one color a well will be a issue for people who want that option 1 do we see 2 size next year maybe this size and say a 45mm for smaller wrist 2 do we see color option there prob looking at sale for now n determine it from there
1990,yooooooo we have the same tree lego set
1991,just dropped my first video check it out please
1992,how is apple gon na top this next year i think they should make an ultra with only 47 mm to get people back they have lost with the my wrist
1993,2 30 mkbhd graphic really coming along
1994,look good doe the screen have pwm
1995,what are in those box behind you i am so curious
1996,it is going to sell like hotcake
1997,actually iwatch ultra is a watch for people who want to display status on their wrist people who do those extreme type of sport are better off with a watch that is specifically made for their type of activity and that is what you gon na see in the end like 90percent of people who will wear this watch will propably use it to check their message
1998,what would be an instant solution to the battery life not lasting a long a other rugged extreme watch is if they made a band that had solar charging panel and allowed the charge to go through to the metal band locking point
1999,you always make a big deal for no reason marquess
2000,hello marque if you look on amazon you can find different coloured snap on protective case for the apple watch 8 and ultra a well a watch band for le cheer
2001,nice try apple but we are having garmin for this thing
2002,how long did it take you draw all of the stick figure how many calorie did you burn
2003,make video about samsung watch 5 pro
2004,the oceanic subscription is a no go also i wish they had air integration soon i hope
2005,that is pretty good i have got a fitbit versa 3 and it last me 6 day of charge
2006,i would say the pro version of apple product are for cooler people a a cool person i definitely feel this is ideal for me
2007,it look like a watch 8 enclosed in a larger case watch 8 or 7 ha smaller frame around the screen
2008,my ultra is not lasting nearly this long did you run yours in low battery mode for some of the time
2009,i could not get past that you kept switching the watch to ur right wrist when you drove
2010,apple should look into tiodizing the watch titanium version of anodizing not black but a darker grey color
2011,or or it is for people who wear gshocks or like big watch like a seiko tuna
2012,how long doe it last without the iphone close by for how long can you go iphone free so with iphone in airplane mode and blutooth switched off in setting not just control center
2013,nice review and i am exactly one of outside people yet will not buy those a the battery is not simply good enough for me the minimum is week on battery to event think about buying any watch tbh i am surprised that apple did not built long battery with their watch such a innovative company full of genius people yet battery suck while competitor have it for year
2014,in your opinion what airpods do u think fit the most airpods pro2 silicon tip or airpods with no silicon tip
2015,i am sorry apple for fuck sake make a round watch until they make a round watch i will never wear one of these thing watch are round make it look like a watch already holy hell
2016,this watch seems awesome but damn dollar800
2017,i am just a regular user who need a resistant case to my job in an ambulance and like the design or the bigger display and more brightness from the ultra and i am not in your draw
2018,if apple watch battery can last day why do not they make the iphone battery last that long bro
2019,the thing funny with this person is he always end up complaining pretty much sure about it
2020,10 36 what computer were you using xps maybe
2021,my biggest complaint is that they did not add the satellite so that we see in iphone 14 that is what would have made this a must have for me instead of buying an apple watch ultra replacing s7 and an iphone 14 i will just be buying a 14
2022,you are missing circle there in that diagram where are the demographic of people who just love and look for oversized watch there are watch brand dedicated to this demographic diesel invicta fossil and the demographic of people that do not love but just do not mind and concentrate in the feature your diagram is incomplete and full of whole style and fashion are missing how many different type of watch have you wear in your life which one you like the most
2023,i am buying one for sure just for the battery life doe it have cellular feature if so it is also a life saving device should your phone not be an option they are out now going today thanks brother
2024,that intro is one of the sickest intro i have seen the team and marque continue to outdo themselves
2025,no it not worth it smartwatches and save dollar500 00 it is apple way to get you to spend more money on something you will only use for a week or two
2026,that wa impressive catch
2027,wow i would never imagine frisbee a an actual competitive sport thanks for the new information
2028,i can see a lot of people buying this just because it is a wicked watch like people who wear courier bag even though they do not even own a bike
2029,apple product to unbox at the back
2030,waiting on mine is now
2031,commenting for youtube algorithms3
2032,why you drawn only thin people where the fat people and why they are all bald
2033,compare it with galaxy watch 5 pro or a separate review for that will be good too
2034,into epic review really good now on to unrelated question 1 anyone know if marque did an operation on the wrist due to any injury playing ultimate frisbee i ask this super privacy invading question cuz i had a muscle injury on my wrist 9 month old and i still have not recovered and the doc said surgery will only lead to lifelong chronic pain and i will never get my full strength back 2 the part of the video where he go to nowhere how is a black guy in u unafraid of cop or some random psycho that he dare to go into an unpopulated area
2035,just fyi the new compass app is available for series 7 and up not sure about 6 and below
2036,6 hour of ultimate frisbee practice over a weekend are you pro
2037,mkbhd is a right hand watch user righties represent
2038,are you sure it is 100 meter i remembered they spoke about 40 meter deep in the presentation
2039,but it still dollar800 watch
2040,i am still waiting for your apple airpods pro 2 review
2041,cool thanks
2042,airpods pro 2 review is up
2043,whoah what is that keyboard
2044,i really want this for the dive computer that is fancy a hell but it is just wayyy too expensive for me
2045,no chance buy a used rolex it would be worth more in a few year whereas this will be useless
2046,at 8 59 marque mention oceanic will be able to do air integration but that is not true the apple watch ultra doe not have any capability to communicate with wireless air integration transmitter that are attached to the tank is first stage regulator edit i have now continued the next few second of the video where he mention it doe not do tank pressure monitoring correct but that is what air integration mean so i am still unsure why he say it support ai
2047,compare it to a garmin watch
2048,how can i get one of this tho wanted an iphone for a long time too
2049,a an avid hiker and fitness enthusiast i wa drawn to the ultra while the battery life is a key feature for me it is the ruggedness and lightweight body sold it for me i did not preorder at launch a i wanted to try it out and see how it looked it is a big watch and i have skinny wrist but i did not find it to be too big it arrives in two day so excited
2050,2coop4u part 2 if people like it and can afford it what is the problem
2051,unske the dual frequency gps is super useful for me with photography and i will leave my phone at home when i go out it also ha very good triangulation with the mics so no wind noise come in i also can take this watch skiing and have a big enough display for my huge hand the night display help with night photography it is great for me to each their own
2052,lol avid hiker and fitness enthusiast describes half the planet trust me you do not need an 900 dollar smart watch this product is for niche clientele and professional but if you want to waste money be my guest i warned you
2053,starbase sight why is everyone attacking me
2054,2coop4u part 2 and you are sounding pretty broke
2055,8 13 a cheaper product surely wont solve the problem lol
2056,i got the previous model but will trade it in a few year for this model
2057,it is ugly
2058,i would really love the ultra in matte black not a fan of silver
2059,studio tour 2022 pls pls
2060,where the watch lack is software tracking weightlifting amp strength training workout recording set amp rep marking body part i mean garmin is above amp beyond i would use every feature i just got ta save for it very impressive and love the review pretty spot on thanks i will be saving for it
2061,yup my coros pace 2 can do all this and for a fraction of the cost obviously i can not make call or send text or control music from the watch but it can do everything else also it is battery last about 1 week so catch up apple
2062,29kalel i know there are many amp are good but who want to have an additional app syncing issue with strava and they usually have a subscription tied to it garmin ha it all included for free
2063,there are apps in the app store for that
2064,i have had like 8 ad on this video wtf youtube
2065,if the water resistance rating is anything like that for regular mechanical or quartz watch please do not wear this watch for diving wr 100m doe not actually mean you can submerge a watch to 100m and also an apple watch with a tux is just a fashion faux pa not matter which version just saying
2066,it is a question of style over function and style always win
2067,2 day and 2 night what a joke d
2068,all that radiation wearing a smart watch no thanks
2069,just something that i noticed you were wearing the watch on your right wrist and i thing it wa not built to be worn on the right hand because then you can not operate the crown a you could if you were wearing it on the left hand
2070,buy garmin otherwise you are a loser hipster
2071,really is not for me waiting for apple to release a minimalistic watch so i can continue wearing my automatic watch in the other wrist
2072,the best no sense apple ultra price watch
2073,test same watch after 1 year amp make sure post the video here
2074,apple suck get over it
2075,i think the calorie these thing show that you would have burned are a little too optimistic
2076,to worth that price it need to have solar charging 2 day battery is nothing
2077,it is only worth it if you are not living in la lol in la it is or hand it over bro
2078,love the shirt marque a a spacex technician that look like a falcon heavy great video by the way i plan on scooping up this ultra
2079,part of my problem with every smart watch is that unsightly gap between the watch and wrist
2080,why not just get a garmin
2081,a a person who is lazy this watch is very helpful to me a it will not break under my weight after 2 month
2082,why do you wear your watch on the right hand do not you know
2083,i think the fact you did 6 hour of workout and got 2 full day is what will work for most of the target market anyway is there anything else out there with that quality and size of screen and the gps plus heart and that battery life i would have thought they would have made sure it would work for an ironman triathlon though i get the tradeoff of what is even possible should be enough for 99percent of people and scenario do i want one no not at all but i gave up long distance running a long time ago
2084,i will stick with my garmin tactix delta just spent the last three day hiking in the rockies using gps tracking on my watch 6 7 hour per day still have 60percent battery life left
2085,here i am again watching something i can not afford to buy
2086,hey marque love from india waiting for airpods pro 2 review thank you
2087,69percent battery nice that is what i am here for well done
2088,just love the falcon heavy shirt
2089,im gon na get the apple watch series 8 i just have to wait for my check to come in im gon na order the apple watch series 8 from amazon
2090,i am impress ultra thank you so much brownlee
2091,impressive feature and beautiful display but miss the mark big clunky and mediocre battery life this ultramarathoner will stick with coros
2092,but why he is wearing it on right hand
2093,incre ble video bro
2094,wow it ha a smartphone price
2095,watch go on the left it nothing me haha
2096,i am not at all athletic i just want it because i like watch
2097,not sapphire crystal just ask jerry rig
2098,these watch are worthless after 4 5 year might a well invest 1k on an actual watch that will last you year
2099,why do we need an apple watch
2100,i think you are wearing the watch wrongly that crown ha to be on the other side if you are wearing it on the right hand otherwise no direct access to use the crown without blocking the screen
2101,is ultra better than pro i consider the edition or stainless steel to be pro
2102,where to watch the match
2103,i do not believe the calorie counter on the apple watch one bit
2104,no way you had cellular enabled for that 2 day battery life
2105,or you could buy a garmin and get allot more funtionality
2106,the battery life alone worth the update
2107,i always find it interesting when righties wear their watch on their dominant arm i think they might be somewhat ambidextrous to pull it off
2108,ultra gt samsung
2109,anything apple related is obviously not related a it is already outdated technology just a bunch of soy boy sheep is obsessed over garbage lmfao
2110,this watch is overkilled again
2111,i need this for diving great review
2112,doe any apple watch band fit the ultra
2113,it need ant
2114,protrek yeah
2115,i got the amazfit gtr pro limited edition and the battery life is amazing l9ve it
2116,cool still fold combo though yeah definitely getting there
2117,i am not mad at this but since i have the 7 i will wait and see what they come with next look like they are paying attention to consumer need but for me i need it to be black definitely expensive but if they learn enough i would bet they nail the next version bigger screen better battery and black
2118,69percent battery nice
2119,i do not know if i could live with dollar800 on my wrist
2120,if you look at the color available with titanium anodizing you will see that most are very vivid and bright black is not among them
2121,i have de casio protek you show and look and feel better using it apple watch it feel too big square design i will stick with casio never end battery triple sensor
2122,this is the only apply product that ha generally wowed me samsung new watch ultra instinct will be far superior though lol
2123,6 50 ultra ftw in scrabble
2124,we use the same pen
2125,not gon na lie i hate apple for many year but im considering the iphone pro max with the watch ultra air pod gen 3 charger and case would be around dollar2500 tho
2126,who edits for you please tell me i need to learn from them
2127,short answer no long answer do you like just burning money
2128,i know your not the right person to be asking this question but come on is spotify ever going to consider adding 2fa
2129,yo can not you like give me a short answer a yes or no would be nice
2130,why did you choose gimmick collector a a lifepath you likely only have one human life
2131,i am not sold on this i am waiting for the ipad watch pro lite
2132,nope black color would absorb the sun light and your watch will heat up during your adventure trip
2133,they will launch another apple watch next year with just the bigger screen and battery and call it the pro
2134,ultra is a better name than pro for the watch because they are trying to target people doing ultra marathon ironman etc
2135,if you pay 800 for this you are a super sheep and you are trying way too hard
2136,i get two day from my series 7 i have never thought to worry about the battery life i see people saying a few hour you need a new watch
2137,i have series 5 and with the os9 the watch is still very nice the ultra is made for the people that make these activity the rest of u i believe that we can live with the normal apple watch in the usa it is cost 800dollar in europe it cost 1040euros it is expensive for a watch that if something happens to the screen what would be the cost to repair it with that money you could buy a good regular watch or a cheaper garmin or a gshock or 2 apple watch
2138,you could have mentioned sth about charging speed for this model is it still fast to charge or not etc
2139,look like during part of your testing that you had theater mode turned on wa that part of your testing
2140,1570 dollar in my country turkey in your country usa 800 dollar
2141,i personally like the watch ultra mostly because it reminds me of running ultra is or doing ultra triathlons
2142,watch in general is gimmick
2143,did anyone catch the website for the leather band he mentioned
2144,annodizing titanium to a variety of color is actually pretty easy they could have a rainbow of color and black if they wanted
2145,a a cross country skiier i have been looking forward to this finally i can do 3 hour workout then do another one and still have sleep tracking in a single charge
2146,incredible waste of money
2147,just ask yourself is battery the reason why you buy a watch yes the answer is indeed what you are thinking you are an idiot
2148,epic battery life but the thing is just too big for me
2149,not worth it
2150,great review crazy cal burn thanks
2151,why is on a different wrist every other shot
2152,airpods pro 2 review
2153,i have skinny arm too and i have the 44 mm 2020 se but i would get the ultra anyway look good
2154,probably because samsung named their watch pro first
2155,what is there for poor pro like me
2156,hey marque if you are really after making it black check out dlc diamond like coating us a carbon coating with a rockwell hardness above that of common metal to provide a scratch resistant coating extremely popular for folding knife and edc gear
2157,start reviewing cheap product also
2158,have you tried amazfit trex it give 45 day in standby
2159,i am sure after market company will make silicon case in different color for those of u who would like some variety in it is look
2160,nice
2161,2 17 channelling his inner minutephysics
2162,i hope they are going to continue this line next year i will be replacing my series 4 with one
2163,2 day and 2 night and into the 3rd day but seems you had theatre mode on the whole time
2164,i would have liked to buy one but it is the shape and battery that kill it for me and make me love my fenix even more common apple 7 10 day battery with 38h gps mode and a shape that doesnt look like a toaster strapped to my wrist and ill buy one
2165,why doe the watch keep switching wrist
2166,how doe it compare to a high end garmin watch doe anyone know compared to the f nix or enduro
2167,your airpods have run out of battery is that 1 11
2168,ok now just make it work on android and i m in
2169,correction you are apple reviewer most if it come to phone and watch you never reviewed any wear o watch like never so do not expect u to take your word for it i am sure you biased a other apple user
2170,very impressive the fact it went 2 night doing sleep tracking is even more i would expect it to last that long without sleep tracking and just being idle at night but the fact it wa actually doing something over night is that much more impressive
2171,mohammed rajab but doe it do all the feature that this apple watch doe like diving
2172,mohammed rajab xiaomi is a ccp chinese communist party company so no thanks supporting the ccp and sharing your data with the ccp is for idiot
2173,xiaomi mi band can do 2 week of sleep tracking
2174,sleep tracking is basically just heart rate check and recording motion it is not super battery heavy to track sleep
2175,could have partnered with primer
2176,a much a i like marque review this one of his weakest he is really not giving u the use case scenario for this watch other than it is got a bigger battery cnet went place to show how this thing can integrate in an active lifestyle
2177,broo please share your workout routine 2000 cals is insane
2178,missed opportunity to say this watch ha major r b f
2179,i do not know why but this watch kinda look china ish to me
2180,am i crazy or is the watch switching from your left to right wrist when you are driving
2181,still oneplus watch is much better
