,Relevant Comments,Components List
245,very impressed woth the battery took it off it is charger on thursday morning used it a normal did not ever engage low power mode sunday morning still on 15percent not bad,['battery']
246,i have a realme watch s severely limited feature ha a 390 mah battery but last like 15 20 day cost around dollar100 so like what is actually eating the battery on those guy doe accuracy in health monitoring and gps really eat up that much battery,['battery']
247,i guess apple people are easily amazed i am not sure what you all are putting into your kool aid but i have absolutely no idea how you all can tolerate the insanely poor battery performance of the aw lineup i get 3 week of continuous use from my garmin fenix before i need to charge it i really want to like the awu but the price and laughable lack of battery performance is a deal breaker for me,['battery']
248,definitely overkill for me for what i do but the size and battery life make it the winner,['battery']
249,my two cent coming in a little bit late lol the apple watch in my opinion look way better in the larger version the apple watch ultra i have always felt that the previous version looked a little cheap even though i have worn the apple watch seven with this being said to me the battery is better the look is absolutely much better and at least if you are wearing a nicer band it actually get a lot of compliment i would like to see this watch another 4 mm bigger would be perfect,['battery']
250,2 day and 2 night and having 2o percent of battery left pff dude that is lame i use my huawei for 24 7 and then i need to change it and watch it is almost 3 year old and it is way more cheaper then this new apple ultra,['battery']
251,a a travel photographer that go to extreme place this wa a must for me i swim with shark free diving am on my way to hike to photograph silverback gorilla in rwanda after which i will be in the desert of egypt and then am heading to antarctica to photograph whale that is a normal routine for me i do not take my phone on these excursion because the risk of losing dropping or breaking them is pretty high a well a an animal grabbing it which monkey or lemur will do so i purchased the cellular ultra but i understand most people are not doing these thing so i think it may be unnecessary for them i had a fitbit but this watch obviously doe more my fitbit battery last way longer i had the apple store make sure my screen stay off which they said will give me a few more day of battery life,['battery']
252,i would only get this for the screen size and battery alone i currently have the se2,['battery']
253,so hey i am not an athlete at all or anything even close to it but i do love these apple watch i do a let of text while working and have found the apple watch a good way to make that faster instead of taking your phone out unlocking it opening message etc so for someone like me out of all the apple watch out there which do you think would be the best i like this ultra with the longer battery life but do not know if i really need all those extra feature that i will probably never use thanks bud vinnie from alaska,['battery']
254,garmin is laughing at this battery life lol if you are going to spend 800 dollar on a watch get a real watch,['battery']
255,personally price is not crazy since i am already in the garmin universe i just can not justify this one because lack of cycling power meter support which is a huge l and the battery life can not compare to a garmin either you do not need apple watch functionality or want it tbh when backpacking 5 day i am really glad apple entered this space though garmin ha not had great competition and ha been getting by with sub standard software for far too long,['battery']
256,just got the se and i am loving it but one thing i wish if for bigger battery btw my se going for 2 day without a charge ik it say 18 hour but nope i had it on my wrist for 2 day straight and 1 2 night,['battery']
257,it rubbish and a toy till it ha 10 day battery do not make these hype pl,['battery']
258,honestly the battery life is the sole reason i have never owned a smart watch regular watch last year and year,['battery']
259,finally ha a samsung battery but i am not paying 800 for just a samsung battery,['battery']
260,for autistic and adhd folk the durability and battery life is much more appealing than the standard series watch considering the amount of problem with screen popping out and damage to the case,['battery']
261,slept with 69 per cent battery hmmmm okay,['battery']
262,thanks for the great review a always very detailed and hit the point especially on battery life such a nice upgrade to the normal apple watch that are dead every day with moderate daily exercise,['battery']
263,yep 2 day i can charge on day one around 8am and run it that day the evening full day another evening and charge the following morning you could say 3 day however it is clearly a two full day watch battery two and a bit if you let it run down below 20percent,['battery']
264,why do not you say 2 day of battery instead 2 day 2 night,['battery']
265,this is the first smart watch that ha gotten my attention i do wear a number of automatic watch and i am a big g shock fan a well all of which i own are solar both of these do not rely on replacing battery and that is something that stick out for a number of watch people unfortunately i think the only two thing that will keep me from buying it is that i can not get a bluetooth wifi only model and it is still largely a novelty because my career doe not allow me to use it while working it is very cool though i just can not see paying for cellular service for a watch and there would never be a time that i could be wearing this watch that i do not also have my iphone on me,['battery']
266,my series 4 watch battery dy pretty quick now if i do not charge it one night it is pretty much dead the next day which it suck whenever i go camping for the weekend i have to bring my charger for it a well plus the bigger screen definitely look nice,['battery']
267,that 3 day battery is good for apple appalling for garmin,['battery']
268,dominick west garmin watch are better fitness watch and have longer battery life the apple watch is better at everything else,['battery']
269,if you want a series adventure watch just get a garmin a 2 day battery life on a watch like this is simply not good enough,['battery']
270,all this smart tech is rubbish you will want to replace it with a newer model in 2 year and you will have to replace it in 5 year because it will be so out of date and the battery capacity non existent i bought a casio protrek solar powered watch 20 year ago and still work perfect these watch are designed to be dumped and replaced in a short time that is how apple and other similar manufacturer make money,['battery']
271,my biggest issue is just the battery life i do not need the extra feature on the watch but it wa so infuriating with my apple watch 4 when i wanted to go for a 2 hour mountain bike ride i realised i had not charged it during the night because of sleep tracking or morning i forgot the really short battery life really is a big issue because you are supposed to be wearing it 24 7 and you really need to plan on when you charge it daily,['battery']
272,patrick howie i am not going to bother with a device that requires daily planning on my part for it to do what it is supposed to 3 day of battery life in normal use is something that a watch need at minimum,['battery']
273,not good enough for the prize the battery life dude stop promoting junk,['battery']
274,agamerjoinedyt it is possible and the watch doe not look good there are also more watch out there with more battery life right now apple watch give me iphone 3 design vibe round and square with curving surface,['battery']
275,tbh this wa is appealing simply because of the battery increase personally i would take a slightly chunkier watch for an extra while day of battery any day my main gripe with my apple watch 45mm series 7 aluminum is that if i wear it all day and sleep with it the next day it is almost dead and i have to charge it before going about my day the 2 day life would be amazing,['battery']
276,would have liked to see the battery life compared to other smart watch i do not think anyone expects them to be even remotely comparable to regular watch haha,['battery']
277,my garmin venu 2 last about 11 day on one charge i use it for heart rate stress level energy level which ha gotten more and more accurate the more i use it and step tracking i do have the option for weather and text message and other stuff since it connects to my iphone but i always have my iphone on me or within 4ft of me so no need for those option plus it make the battery last longer thanks to amazon i have tried multiple smart watch and i am most content with my garmin venu 2 the new apple watch doe look super cool but for dollar800 i would rather put that money to other apple product tbh i am not even a fan of the apple headphone so i returned those might try out this new apple watch but just to try it out and return it later on shout out to amazon fr the return policy is so long it is basically a trial period lol,['battery']
278,i find these smart watch thingies kinda redundant i would perhaps care when they last for at least a week which even that feel way too short a battery life for what they are trying to replace,['battery']
279,still doe not have enough battery to do a full triathlon sticking with sport watch like the garmin who own this option,['battery']
280,garmin us different screen technology i do not remember what is it is called but it greatly increase battery life caveat is the screen is not a good visually especially the sapphire version which is fairly dim for me i prefer the durability of my fenix over the apple watch 3 i had i have seen video where apple is sapphire is not a good a garmins gerryrigeverything ha a video about it,['battery']
281,it is all up to each person to determine wether the purchase of this watch is worth it to them in my opinion it is bigger ha a few more feature longer battery more durable and i think i wa looking for something more that stood out to me my current apple watch will suffice until something truly unique to me stand out and i can not justify spending dollar800 on this watch when my significan not other purchased one for about dollar500 for me a a christmas present not even two year ago excellent review btw i found this helpful,['battery']
282,never really been much of a watch guy but i hate how much i use my phone and carry my phone with me this may just be the pill i need now that the battery life is getting better,['battery']
283,brian washington their pricing strategy i fell for it i wa like i need a watch def going to invest in stainless steel to have it for longer time but then when i compared the price i wa like i will take the better battery and bigger screen for extra dollar50,['battery']
284,just bought one first apple watch in year always wanted something a little bit more rugged with more battery,['battery']
285,lol they finally did it i have been in apple ecosystem for a while but i do not find the apple watch really helpful the old watch will not even last a marathon or ultramarathons that take 10 hour that is why most runner i know spend on pricey garmin or suunto multisport watch this is also the reason why i stick with my miband for now because i prefer the sleep and heart rate tracking functionality with battery lasting 5 7 day do not know will check it maybe in the future i am already lazy charging my phone airpods and macbook i prefer if they can build the watch battery to last one week cuz yah know it is just a watch lol,['battery']
286,0 42 it is not fair you have theatre mode that turn off always on so make a better review on battery next time but for the rest keep it going,['battery']
287,i am a beginner alpinist who climb above 13 and 14 thousand foot and i definitely would not mind an avalanche alarm great gps a well a long battery life plus tracking calorie and fitness stuff during bjj or rock climbing and the gym would be great,['battery']
288,the apple watch ultra is ultimately apple is pro watch it ha the pro feature like an action button pro apps sensor biggest battery life and is the strongest overall it depends on what you will use it for but it is twice a expensive a the apple watch series 8,['battery']
289,i got it for the battery life,['battery']
290,quite frankly i do not know how ultra marathoner or cyclist can use this the battery at best is 30 hour without any function if you use the gps or any other fuction when working out i am guessing at best get 7 hour of battery life for longer race this without a recharge is tough,['battery']
291,watch look amazing but honestly if i am on a multi day hike off the grid i am not going to rely on apple watch w a 2 3 day battery life suppose it work for some scenario though,['battery']
292,yeah but my 200dollar seiko can last longer without a battery and doesnt need a gps,['battery']
293,i wonder how viable it would be to develop a trickle charge ability tapping into body heat and kinetic energy from moving it about combined with some advanced solar tech the battery could potentially last way longer of course size is an issue too,['battery']
294,i do not even use my apple watch ultra for workout anymore it keep locking on me because it think it is off of my wrist since i have tattoo on my wrist therefore it block the optical reader it is completely annoying and the only way to stop it is to take off the apple pay but then it still will not read my heart rate my garmin fenix 7x sapphire solar heart rate only work if i push it below the knob on my wrist but the garmin pay always work and the watch never lock on me also the apple watch doe not count rep in the gym and that is ridiculous i where my garmin to support me on workout and the apple ultra for day to day when i am not working out i strap the garmin to my ankle so i can still get the metric not to mention the battery life is so much better on the garmin i am an amateur athlete but my workout can last up to 6 hour with a long run boxing biking and weight i also compete in ultramarathons and i will only trust my garmin for that,['battery']
295,promoting 2 day of battery life give me the shittiest feeling it should be atleast a week which other smart watch maker like fitbit and garmin offer,['battery']
296,casio g shock and other solar casios do not have a big bright oled screen and battery wasting feature so they require le power which mean a smaller solar panel the apple watch could not fit a solar panel big enough to power it,['battery']
297,wish they would do a iphone ultra with a huge battery some of u do not care about having the thinnest lightest phone eh,['battery']
298,my only worry about skipping this watch for next year watch ultra is that the price will either raise or they will keep the s6 2020 chip for a fourth year in a row but i am definitely waiting and i am hoping next year ultra ha exclusive feature to the ultra with more colour option even smaller bezel being able to see more with the big screen instead of the same a 45mm where even though the 49mm ultra is bigger you are seeing the same content where a you are seeing le on the 41mm an actual new chip in it will be great too one thing i know apple will not do is give u the option to choose what colour the action button will be i would have picked red action button with navy blue or black casing big hope is for a new chip inside instead of a rebranded one like they did last year and this year even smaller bezel and more feature longer battery life 36 hour is not enough it may be for others but it genuinely is not more watch face wired charging for longer battery health,['battery']
299,the battery kill it for me i have gotten over a week battery life out of my garmin watch,['battery']
300,your very valid post of battery life is why i have not yet bought a smartwatch my mechanical watch work by the wearer moving or my g shock solar make it easy to pick up the next morning in a rush and go having to charge my watch is something i am not accustomed to probably will not ever be lol it is a nice piece but a a diver i will stick to my tried and true purpose built dove computer with 30 plus year in the business,['battery']
301,there is one point i would like to find out that apple watch ultra is targeting extreme weather sport i just wonder that how the battery design facing those condition are they using enduro battery design,['battery']
302,i love the look of the ultra and the hardened feature but i hesitate to spend dollar800 on a watch that is battery will degrade in a couple year time no matter what you do i will stick with the normal apple watch for almost half the cost of the ultra,['battery']
303,a couple thing 1 sleep tracking is useless you do not need a watch to tell you if you had a good night rest and it feel uncomfortable wearing a watch while sleeping i find it unnecessary 2 battery life is overrated at least in the aspect of comparing 60 hour to 1 week like other watch it take literally zero effort to put the device on a charger at night 3 this watch is not even big it also still light garmin amp suunto are literally monster and twice the price can not justify spending 1500 for a smartwatch but the 800 is just right i mean there are people who spend 2k on a regular watch that doe nothing but tell time having said that i am considering this now too i have the series 7 but the face is already scratched from kayaking trip and kettlebells i hike in warmer month and the extra battery is good for camping trip when i am outside for 2 day but definitely do not need a week worth of battery but a weekend worth is perfect the waypoint is definitely a game changer,['battery']
304,dollar800 watch battery should last at least a week lmao,['battery']
305,if battery last for more than a week then it name is suitable otherwise it is just name ultra,['battery']
306,this is why i hate smart watch a good g shock will last decade and if the battery dy it is easy to unscrew the back and put a new coin cell in,['battery']
307,for the second group that doe long hiking it still miss too much good offline map are an essential thing which is missing on the apple watch and the battery life is still bad compared to the garmin watch specialized on that particular group the two band gps is not really knew other specialized watch have that too,['battery']
308,i wish there phone had this battery life personally i do not find the watch appealing i see no use for it,['battery']
309,i thought i would be in to this watch using it the same a my other apple watch the battery will not last until evening the first day the cellular doe not work well enough to use alone without the phone spotify would not work with my airpods i could only play music i had downloaded to my watch the workout app constantly pause right in the middle of my workout i left my phone in the locker at the gym with cellular bluetooth and wi fi turned off and my watch kept trying to play music on it successfully instead of my airpods it is a cool looking watch though and it is not a huge watch like i keep hearing everyone say if you think it is huge you should probably eat more protein or something because you obviously have tiny dainty wrist,['battery']
310,ngl i am a hardcore android user but the apple watch ha me thinking and the more or le 3 day of battery ha me hooked just need to buy an iphone,['battery']
311,00 15 69percent battery nice mkbhd,['battery']
312,it is cool but it is also going to be trash in a few year when you want an upgrade i would actually be interested in this watch if it wa more of a life time or 20 year proposition where the internal component could be updated paying this much money for something which will be obsoleted next year seems weird to me seems like an expensive toy i do have a garmin forerunner 945 i get week of battery and i love it it is a smart watch but it is also kind of dumb and feel like something i could have for a long time although i guess the battery will go sooner or later and it will be headed for the landfill,['battery']
313,that is great battery life but dollar800 i do not mind charging mine lol,['battery']
314,they should try making the ultra longer battery maybe 5 day or up maybe all will drool on the watch i will want it if it 5days 2 day is ok but let be practical,['battery']
315,it is the battery if you want an apple watch you would like to wear it all day then wear through the night at time to monitor sleep and health for the benefit it is designed to provide without charging it every day,['battery']
316,an apple watch is limited to battery power apple should made it with solar charging i wait for generation 15 and when the price is dollar399 00 instead of dollar799 00,['battery']
317,a bit late here but i am looking for this watch when the model arrives to my country i have an se and week ago i had to call an ambulance because of my heart i am a heart transplant patient when the ambulance arrived the guy noticed my watch asked for my phone and check the daily rhythm and other stats he double checked with the machine and all after that he told me that maybe a series 7 or 8 would be nice cause it have other useful stats and i wa like ok then the doctor at the emergency room took my phone and did the exact same thing after spent the night at the emergency room i asked them about the watch they told me that they obviously double check everything with specialized machinery but the watch and phone give them an analysis of what wa happening earlier that day and week and is a reaaaally good addition now looking at the ultra i am tempted because battery alarm sound because i am 70percent deaf and all the stuff that the se do not have now is expensive but having those stuff make me feel a little le worried when i am outside in other country or similar situation i am not an extreme user a apple show in the video but i think all the people with heart disease love the watch and they could focus on that and have a lot of new potential user old people transplanted person etc,['battery']
318,so lem me guess it straight apple expect u to buy a 1000dollar phone a 400 800dollar tablet and a 400 800dollar watch every 3 4 5 year a the battery becomes crap or the o becomes super outdated and or unsupported any middle class person who ha a family or a mortgage can not afford that crap unless you live on your credit card eat only unhealthy food like kraft diner r do not save money for rainy day it is not even close fun time we live in also all the environment friendly thing they claim to do when they try to push all these disposable gadget pure greenwashing android can be cheaper but is much worse for battery swapping or updating the o the only way i can afford gadget while paying my mortgage and being financially responsible saving money is buy them used in place like marketplace and run them into the ground until they basically explode,['battery']
319,2 5 day of battery charge will have to wait till it hit atleast 7 day since this will not do well with multi day trek,['battery']
320,i have a withings scanwatch it is not that smart a watch but it go about 4 week between charge apple ha just squared the reason i am still not buying any apple watch battery shape and size,['battery']
321,until the next update that decrease your battery drastically lol,['battery']
322,turn off cellular and tell u how long the battery lasted you never mentioned how well that worked,['battery']
323,the main question is have you used it when your phone is near by i have an apple watch series 4 and the battery doe not even last for 8 hour if i use it only with the cell option,['battery']
324,2 day lol fenix 7x take week to run out of battery even sense2 take almost whole week,['battery']
325,some people work on a google server floor and would like the battery life flashlight data to not have their phone going through a metal detector all day and have health issue where finally temperature tracking is on the apple watch lol,['battery']
326,the biggest problem with this apple watch is the price at that price it is in garmin fenix price point which ha a battery life of over 10 day it is feature are all higher spec that the apple watch it ha more accurate gps with 3 different source solar charging so the battery life is extended basically it ha load of feature that other watch already do better the lack of being able to connect to third party sensor like a chest strap is also frustrating if it were cheaper it would fill a space which doe not overlap with better device unfortunately it doe not,['battery']
327,i need some help my ultra i turn to low power mode by noon and still by 1600 i am at 20 30percent battery it not on cellular mode however i get hundred of outlook notification some advice from someone pls,['battery']
328,sound like you either have every single app running in the background constantly pinging and using up battery or you just got a bad battery in your watch i have had it for about 3 week and i have never had it last fewer than 2 full day,['battery']
329,not sure why everyone is praising the battery life i am laying in bed and it is gone down 3percent,['battery']
330,ended that day by going to sleep with about 69percent battery brief pause nice hahahahahaha,['battery']
331,my current apple watch series 5 get me throughout the day and ha lasted through all my half marathon a long a i remember to charge it it slipped off the charger and i almost lost the the last two mile of flying pig i do have issue sometimes with gps in city like chicago and manhattan the straight line that cut thru building and road are pretty annoying and mess with the pace but apple is made gps better with each watchos iteration i guess i do not absolutely need this version of the apple watch but i do like bigger watch face and the longer battery life will be nice my next run are vega and disney so gps will not be an issue but coming from series 5 i will get vox and that metric will be neat to see i will have to check out the band on your estore,['battery']
332,i am tired of buying a stainless steel or titanium watch sapphire crystal that is disposable in 5 year all these premium material in a disposable watch just doe not make sense with all the genius sitting at apple they need to re engineer the apple watch where you can replace the battery easily 4 screw and replace the battery i like to argue the the apple watch is more expensive that most swiss watch if you consider you have no watch after a few year it a houdini watch now you have it next you do not why did i come to this point i have the apple watch original series this is now considered vintage by apple can not service it the battery died i paid 1 099 for it in 2015 stainless and sapphire crystal 2015 wa not so long ago in the watch world this ultra watch will not even last 10 year so is not this so expensive to own and use you will be still rocking your rolex 30 year from now the economics of apple watch is just plain bad for u perfect for apple the richest company in the world,['battery']
333,battery with lte network or wifi or any other connection may be show true battery consumption,['battery']
334,answering my own question it is stronger strong enough to feel during vigorous exercise i am also getting 4 5 day battery life the watch is the best apple watch by far 8 10,['battery']
335,battery life is not anywhere what i need and you still need an iphone impressive nevertheless,['battery']
336,i just picked up the fenix 6 sapphire on sale to replace my apple watch just for the battery life i got tired of having to pack another charger around when i travel and go hunting i wa jealous of my buddy and their garmins and never having to charge them,['battery']
337,i have never had an apple watch and just got my first iphone 13 pro max since the iphone 4 for me i will probably never use half the stuff that is capable in the watch but i just wanted to have the best apple watch on the market so i bought it the battery life 2k nit and aesthetic are enough for me,['battery']
338,i just received the new ultra and the size is not a surprise from a 45mm i like the overall look but the battery is what i am waiting to see if it is going to do it for me i can not wait for that software update that is suppose to add more battery life a well the durability is what got me looking at this one a well i banged up my series 7 the glass around the curve wa always taking hit i like the flat top with the protective rim of the ultra it feel heavier to me than a 45mm when i put it on i wa like ok i thought the weight wa not a thing but it is noticeable,['battery']
339,apple watch ultra battery life suck ball compared to amazfit garmin fitbit,['battery']
340,good battery life until apple kill it next year with an update,['battery']
341,battery life is shit to begin with any other smartwatch destroys the watch ultra in battery life,['battery']
342,curious on what your setting are to get that kind of battery life that is well beyond apple is claim of 36 hour which is what i typically get,['battery']
343,i am a garmin fenix user and i laugh at this battery life i get 2 week minimum out of mine with ten of gps activity,['battery']
344,at 1 11 the airpod battery noise scared me and i had to listen again thought my airpods were dying,['battery']
345,why doe it not have a ultra low battery mode already,['battery']
346,wow 3 day battery life and all that can be yours for dollar800 apple can go suck a lemon,['battery']
347,i ended that day going to sleep with about 69percent battery nice,"['battery', 'battery']"
348,69percent battery nice getting a thumb up just for that,['battery']
349,garmin is laughing at that battery life,['battery']
350,garmin user here when apple can reach the 2 week battery life then i can think about switching,['battery']
351,marque 69 percent battery life nice lmaoooo,['battery']
352,i am 100percent happy with my garmin epix 2 with awesome screen offline map and 2 week battery life,['battery']
353,hey apple i do not care about sport diving or climbing i am a regular office worker with mostly outlook notification how about a week of battery life no thought so,['battery']
354,battery life is trash garmin 7 for me,['battery']
355,battery still suck people will still buy this for luxury not necessity,['battery']
356,the main reason i left behind my apple watch wa for battery life i really really liked my apple watch and what i wanted it to do i wanted it to track my sleep step and calorie i did not use most of the other stuff it could do i went over to a garmin forerunner 945 and like it too it doe a million thing i will never use but i literally get 8 10 day on a single charge i know there are a plethora of other smart watch that get 5 10 day on a single charge what the heck can not apple create a watch that doe that i am sure this new watch will get 3 5 day if you are not going crazy with every single feature for me i want sleep tracking step and track my workout that is it i might think about going back to the apple watch the ultra but 8 hundo is pretty steep my garmin wa 6 hundy which is a lot dollar200 more for the ultra it is dope though,['battery']
357,well i am no athlete but i am excited to try the sleep tracking coming from the series 5 though what i want to ask is how low can i get the battery while keeping it in a good cycle meaning i will not destroy the future battery of the apple watch for i remember back in the series 5 or so time it wa recommended to charge your watch and not let it go under 50percent of charge so i just want to ask how low can i push the battery without destroying the future use of the apple watch for all day and all night use,['battery']
358,you can utilize the feature of apple watch ultra if you are an athlete but man look at that it impressive especially the battery life i mostly use my apple watch to track my sleep i am not athlete nor heavy workout person but i still want that i think it is worth it to upgrade,['battery']
359,el a g itr n it is not a bad watch but personally i like the garmin tactix better i have used the ultra in the same situation i use the delta and the feature are a little better garmin is just an all around outdoor watch the ultra is not bad but i would use it if i had to the battery life between them both is just not comparable so if your planing on being out for day at a time i would not recommend the ultra i got the ultra more for when i am on my bike especially using the gps feature for when i am in the road i did test it out in the wood and it not bad just try to cary an external power supply,['battery']
360,ill stick to my garmin battery life is much better,['battery']
361,haha battery life is the only reason i want this watch,['battery']
362,it should have the battery life at least 5 day to compete with garmin all the feature are cool but those people would not budge in 36 hour battery life,['battery']
363,why i left apple watch is because of battery life i can not enjoy wearing my apple watch for at least a week without having it charged everyday so i am currently wearing garmin tactix 7 pro ballistic it last me month or so without charging same material a the new apple watch ultra it ha more what can apple watch ultra could offer for daily and other rugged activity,['battery']
364,returning mine today after work gave it a 24 hour test battery wa at 50percent after one full day going back to fitbit 5 day battery huge fail for apple,['battery']
365,battery huawei,['battery']
366,casio watch battery go 10 year,['battery']
367,i would buy it just for the better battery life phone clarity volume and gps i do not care about anything else,['battery']
368,i think this watch is not enough for the price gbp800 and you get 3 day if you are lucky all the people who this product is aimed at are probably already into the garmin ecosystem and have been using watch like the fenix with 21 day battery life for year,['battery']
369,if apple watch ultra can not connect to diving equipment it is useless for proper diver and it doe not have the tech to connect to your oxygen tank to see the oxygen level remaining apple watch ultra is a luxury item with a big battery it is not for diver and with screen at max brightness it will die long before you finish a very long bicycle race for example,['battery']
370,i wear an apple watch 5 45mm and i just got this and can not wait for the awesome battery life i am a woman and i like big watch,['battery']
371,stupid question but if this phone is for endurance athlete how would you charge your battery if you a hundred mile in the wood or on top of mount everest,['battery']
372,it amazes me how a dollar100 watch battery can last for over a week and a dollar800 watch battery can only last two day and you call that good a a matter of fact my health insurance sent me the watch for free that they paid dollar50 for,['battery']
373,i have my og galaxy watch and the battery last about 5 day straight,['battery']
374,i am probably considered an average user but the battery of the ultra is very appealing i use for sleep tracking for health so very appealing indeed to have a few day wear without charging is it nice looking on woman wrist too my wrist are kind of small so i worried about the aesthetic but it is very appealing especially for the charging great review thank you,['battery']
375,so basically it ha the amount of battery life a normal apple watch should already have lol,['battery']
376,im returning my se 2 for an ultra i do lot of activity outside and workout 5 day a week i feel like ultra is win for me and it different compared to other watch the battery life got my attention,['battery']
377,maybe it is just not convenient for enough people but i use my galaxy watch for week to well over a month without charging becasue i put in on battery only mode when i am not in need of additional feature of course charging is not really an issue either unless you are sleep tracking but it is just one of those thing that i do not understand how the battery life is an inconvenience there are plenty of time during the day when you can charge it up while doing something else,['battery']
378,i am really interested in this watch because of the longer battery life the compass and the red light filter while i understand that battery life is pretty limited on the normal apple watch i find that the compass app and the filter are thing they definitely could add i am not into any extreme sport though so i can not justify buying an apple watch ultra,['battery']
379,please come back in a month a let u now how the battery is holding i love my apple watch but it seems that everytime i get a new one the battery is good for only like a month and then i have to charge it every night,['battery']
380,i get 10 12 day of battery with my garmin fenix how are wearable user still putting up with daily charging,['battery']
381,the day my smartwatch only ha 3 day of battery life remaining is the day i throw it out,['battery']
382,a a motorcycle rider the apple watch is such a pain in the a the battery life is so bad and you always have to take the charging cable with you i wish there would be an apple watch that last 5 day which is great for a nice motorcycle trip or work week i wa really looking forward for the ultra but now i will look for an alternative,['battery']
383,thanks for good review like you said 2 3 day of battery life is nothing for a outdoor action watch i just do not know why apple do not make solar apple watch so you can be in the jungle camping for week without electricity can wait for that day,['battery']
384,disappointing for price no built in navigation map like the garmin watch which do not require a cell signal or data to update and have 16 day battery life so ultra not a useful for serious hiker or pro outdoor type,['battery']
385,bought the apple watch 6 in 2021 battery is still good i like the watch but i would not buy another one,['battery']
386,it is a great watch with good battery life that doe not feel heavy or too big on my wrist i never got a smartwatch and waited year for apple to come out with a watch like this because others apple built look like toy this look more like a real watch and the new function make it pay for itself a a dive computer is pretty expensive too i wa not sure in the beginning and my girlfriend hated the idea of a smartwatch but already after a few day we both think that it is a pretty cool device,['battery']
387,insert garmin fenix meme adventurer biker mountaineer military garmin ha gps map 2 week battery life up to infinite if you get solar if you ask any military person garmin fenix is the only watch they recommend if it lasted 1 week and did not have an orange button then maybe otherwise for that price point you will get more from the last gen fenix than an apple watch,['battery']
388,for that price i will ride with garmin forerunner 945 battery last me minimum two week putting in work with it apple been playing catch up if you ask me maybe for a inside gym quick session and going out for look yea but not for all the way outdoor fully activity like they make it seem garmin the goat of that,['battery']
389,i ended the day with 69percent battery nice hahaha i see what you did there,['battery']
390,battery life is pretty shit,['battery']
391,lol i will stick with garmin 17 day of battery,['battery']
392,69percent battery nice lmao,['battery']
393,i want the ultra to replace my series 7 because of the screen size and flatness and battery life and i do not do any of those other recreational activity,['battery']
394,you can not pack all the pro feature to one device this size they did make all of them just enough it feel like but i still would get device made specifically for the thing i am doing rather than a watch with 10 000 different feature professional deep diver will not use the ultra since it cap out at 40m 130ft professional hiker could use it but a garmin watch for example a garmin fenix 7x sapphire solar that ha the necessary feature for hiking not a smart watch tho with 28 day of battery life the ultra matron people will definitely not choose a apple watch because of comfort garmin ha the forerunner series for that a an armature athlete i use a garmin forerunner 245 music while a professional friend of mine us a 945 music both with 10 day of battery life,['battery']
395,i work in the construction field and a couple year ago i bought the apple watch i think the series 4 and within a week it wa all scratched up now the ultra with the sapphire crystal would be a game changer for me because it is way more scratch resistant and also the battery life of course,['battery']
396,comparing the battery life of a smart watch with a conventional watch make no sense they are two completely different gadget,['battery']
397,69percent battery nay,['battery']
398,great review but i think you are missing a massive subset of potential user people who need a simple rugged watch with increased battery life such a police fire and em the apple watch failed in two aspect prior it wa not rugged enough for job that require a more physical nature and the battery life required to frequent charging given some occupation is shift some firefighter and em work 48hr shift a typical apple watch would not make it through one complete shift on a single charge but taking the watch off at night to charge it would not be feasible the ultra is the first apple watch that is on the job compliant in that it can last an entire shift plus is hearty enough to take the daily physical abuse running an ultra marathon or scuba diving is a niche market that is over glamorized for apple is marketing making a watch that police fire em can wear now that is breaking into an untapped market,['battery']
399,you forget about the cycling crowd battery life is still barely enough and no ant support or able to connect ble sensor for very important thing like watt meter heart rate band to get accurate reading cadence and so on,['battery']
400,69percent battery nice i like that this ha like become the standard thing to say after the number 69,['battery']
401,that battery should last a month my casio battery last for 10 year my kindle last for a month no way a 2022 model of a smart watch should not last at least a week with modern battery technology fail by apple imho,['battery']
402,marque i have gained a lot of very valuable information from you in the past and it is the same for this review so thank you i will say however a an avid skier xc triathlete and backcountry hiker this watch doe not quite do it i did not see in your review if it could download a gpx file for you to follow with turn by turn guidance the battery a you said is very short when compared to other adventure watch for reference i work out every day for at least an hour running gravel biking mountain biking swimming and many hour on weekend my garmin 945 last more than a week with all of that activity i do not think the ultra can monitor power which is a key cycling metric which triathletes track the only thing that i really wish my watch did that the ultra doe is allow me to respond to text message if i had a non iphone actually it would but unfortunately apple just doe not support other brand communicating with it device very well at all,['battery']
403,honestly extreme watch doe not make much sense if come w o garmin like solar powered battery,['battery']
404,garmen battery still last waaaaaay longer,['battery']
405,so apple made watch with sub par battery capability for almost a decade and now we have to be at awe of their greatness a they finally made a watch with decent not good battery life,['battery']
406,better battery life but garmin fenix watch are still my go to watch for fitness,['battery']
407,69percent battery nice that made me laugh more than it should have,['battery']
408,i just need the battery from that watch and insert it onto my series 2 i would be so happy,['battery']
409,the battery life is a joke outside of isheeps,['battery']
410,the gps and battery life 2 plus day like you said new daily but not for dress up,['battery']
411,whoopy so it is 36 hour battery compare that to garmin month long battery just in case it is needed for a mountain climb v the fake adventurer is that may think this will be there to save them when it will not,['battery']
412,i just got mine on release day and love it so far great info on the battery optimization yet to release,['battery']
413,i am very interested to see how well the battery hold up long term my series 4 apple watch barely last a full day now but when i got it it would last a day and a half with my usage great video marque,['battery']
