,sequence,labels,scores,classified,Components List,label confidence score
304,i am a beginner alpinist who climb above 13 and 14 thousand foot and i definitely would not mind an avalanche alarm great gps a well a long battery life plus tracking calorie and fitness stuff during bjj or rock climbing and the gym would be great,"['Design Specifications', 'Software', 'Advertising']","[0.48910611867904663, 0.288446843624115, 0.2224469780921936]",Design Specifications,['battery'],0.48910611867904663
305,the apple watch ultra is ultimately apple is pro watch it ha the pro feature like an action button pro apps sensor biggest battery life and is the strongest overall it depends on what you will use it for but it is twice a expensive a the apple watch series 8,"['Design Specifications', 'Software', 'Advertising']","[0.4462684094905853, 0.37589508295059204, 0.17783652245998383]",Design Specifications,['battery'],0.4462684094905853
306,i got it for the battery life,"['Design Specifications', 'Software', 'Advertising']","[0.5924850106239319, 0.2984510660171509, 0.10906390100717545]",Design Specifications,['battery'],0.5924850106239319
307,quite frankly i do not know how ultra marathoner or cyclist can use this the battery at best is 30 hour without any function if you use the gps or any other fuction when working out i am guessing at best get 7 hour of battery life for longer race this without a recharge is tough,"['Design Specifications', 'Advertising', 'Software']","[0.7483712434768677, 0.15267980098724365, 0.09894898533821106]",Design Specifications,['battery'],0.7483712434768677
308,watch look amazing but honestly if i am on a multi day hike off the grid i am not going to rely on apple watch w a 2 3 day battery life suppose it work for some scenario though,"['Design Specifications', 'Advertising', 'Software']","[0.5870819687843323, 0.21592040359973907, 0.19699762761592865]",Design Specifications,['battery'],0.5870819687843323
309,yeah but my 200dollar seiko can last longer without a battery and doesnt need a gps,"['Design Specifications', 'Advertising', 'Software']","[0.4958702325820923, 0.3593437969684601, 0.14478600025177002]",Design Specifications,['battery'],0.4958702325820923
310,i wonder how viable it would be to develop a trickle charge ability tapping into body heat and kinetic energy from moving it about combined with some advanced solar tech the battery could potentially last way longer of course size is an issue too,"['Design Specifications', 'Advertising', 'Software']","[0.4412730038166046, 0.3154241740703583, 0.24330280721187592]",Design Specifications,['battery'],0.4412730038166046
311,i do not even use my apple watch ultra for workout anymore it keep locking on me because it think it is off of my wrist since i have tattoo on my wrist therefore it block the optical reader it is completely annoying and the only way to stop it is to take off the apple pay but then it still will not read my heart rate my garmin fenix 7x sapphire solar heart rate only work if i push it below the knob on my wrist but the garmin pay always work and the watch never lock on me also the apple watch doe not count rep in the gym and that is ridiculous i where my garmin to support me on workout and the apple ultra for day to day when i am not working out i strap the garmin to my ankle so i can still get the metric not to mention the battery life is so much better on the garmin i am an amateur athlete but my workout can last up to 6 hour with a long run boxing biking and weight i also compete in ultramarathons and i will only trust my garmin for that,"['Software', 'Design Specifications', 'Advertising']","[0.4960475265979767, 0.3366031050682068, 0.16734938323497772]",Software,['battery'],0.4960475265979767
312,promoting 2 day of battery life give me the shittiest feeling it should be atleast a week which other smart watch maker like fitbit and garmin offer,"['Advertising', 'Software', 'Design Specifications']","[0.8698835372924805, 0.08563587069511414, 0.04448062926530838]",Advertising,['battery'],0.8698835372924805
313,casio g shock and other solar casios do not have a big bright oled screen and battery wasting feature so they require le power which mean a smaller solar panel the apple watch could not fit a solar panel big enough to power it,"['Software', 'Design Specifications', 'Advertising']","[0.3924831449985504, 0.3563942611217499, 0.2511225640773773]",Software,['battery'],0.3924831449985504
314,wish they would do a iphone ultra with a huge battery some of u do not care about having the thinnest lightest phone eh,"['Design Specifications', 'Advertising', 'Software']","[0.35892409086227417, 0.3463000953197479, 0.2947758734226227]",Design Specifications,['battery'],0.35892409086227417
315,my only worry about skipping this watch for next year watch ultra is that the price will either raise or they will keep the s6 2020 chip for a fourth year in a row but i am definitely waiting and i am hoping next year ultra ha exclusive feature to the ultra with more colour option even smaller bezel being able to see more with the big screen instead of the same a 45mm where even though the 49mm ultra is bigger you are seeing the same content where a you are seeing le on the 41mm an actual new chip in it will be great too one thing i know apple will not do is give u the option to choose what colour the action button will be i would have picked red action button with navy blue or black casing big hope is for a new chip inside instead of a rebranded one like they did last year and this year even smaller bezel and more feature longer battery life 36 hour is not enough it may be for others but it genuinely is not more watch face wired charging for longer battery health,"['Advertising', 'Design Specifications', 'Software']","[0.36865660548210144, 0.33279210329055786, 0.2985513508319855]",Advertising,['battery'],0.36865660548210144
316,the battery kill it for me i have gotten over a week battery life out of my garmin watch,"['Design Specifications', 'Software', 'Advertising']","[0.4200385510921478, 0.3071666657924652, 0.27279478311538696]",Design Specifications,['battery'],0.4200385510921478
317,your very valid post of battery life is why i have not yet bought a smartwatch my mechanical watch work by the wearer moving or my g shock solar make it easy to pick up the next morning in a rush and go having to charge my watch is something i am not accustomed to probably will not ever be lol it is a nice piece but a a diver i will stick to my tried and true purpose built dove computer with 30 plus year in the business,"['Design Specifications', 'Software', 'Advertising']","[0.43074092268943787, 0.36094361543655396, 0.2083154320716858]",Design Specifications,['battery'],0.43074092268943787
318,there is one point i would like to find out that apple watch ultra is targeting extreme weather sport i just wonder that how the battery design facing those condition are they using enduro battery design,"['Design Specifications', 'Software', 'Advertising']","[0.44751259684562683, 0.3287699520587921, 0.22371748089790344]",Design Specifications,['battery'],0.44751259684562683
319,i love the look of the ultra and the hardened feature but i hesitate to spend dollar800 on a watch that is battery will degrade in a couple year time no matter what you do i will stick with the normal apple watch for almost half the cost of the ultra,"['Design Specifications', 'Software', 'Advertising']","[0.4480287730693817, 0.276680052280426, 0.2752911448478699]",Design Specifications,['battery'],0.4480287730693817
320,a couple thing 1 sleep tracking is useless you do not need a watch to tell you if you had a good night rest and it feel uncomfortable wearing a watch while sleeping i find it unnecessary 2 battery life is overrated at least in the aspect of comparing 60 hour to 1 week like other watch it take literally zero effort to put the device on a charger at night 3 this watch is not even big it also still light garmin amp suunto are literally monster and twice the price can not justify spending 1500 for a smartwatch but the 800 is just right i mean there are people who spend 2k on a regular watch that doe nothing but tell time having said that i am considering this now too i have the series 7 but the face is already scratched from kayaking trip and kettlebells i hike in warmer month and the extra battery is good for camping trip when i am outside for 2 day but definitely do not need a week worth of battery but a weekend worth is perfect the waypoint is definitely a game changer,"['Design Specifications', 'Software', 'Advertising']","[0.4684692919254303, 0.26690784096717834, 0.26462286710739136]",Design Specifications,['battery'],0.4684692919254303
321,dollar800 watch battery should last at least a week lmao,"['Advertising', 'Design Specifications', 'Software']","[0.4224068522453308, 0.33551034331321716, 0.2420828938484192]",Advertising,['battery'],0.4224068522453308
322,if battery last for more than a week then it name is suitable otherwise it is just name ultra,"['Design Specifications', 'Software', 'Advertising']","[0.4623226225376129, 0.32810714840888977, 0.2095702588558197]",Design Specifications,['battery'],0.4623226225376129
323,this is why i hate smart watch a good g shock will last decade and if the battery dy it is easy to unscrew the back and put a new coin cell in,"['Design Specifications', 'Advertising', 'Software']","[0.3857850730419159, 0.34293437004089355, 0.2712804973125458]",Design Specifications,['battery'],0.3857850730419159
324,for the second group that doe long hiking it still miss too much good offline map are an essential thing which is missing on the apple watch and the battery life is still bad compared to the garmin watch specialized on that particular group the two band gps is not really knew other specialized watch have that too,"['Design Specifications', 'Software', 'Advertising']","[0.3982555866241455, 0.3122137784957886, 0.2895306348800659]",Design Specifications,['battery'],0.3982555866241455
325,i wish there phone had this battery life personally i do not find the watch appealing i see no use for it,"['Design Specifications', 'Advertising', 'Software']","[0.43493396043777466, 0.3131464123725891, 0.25191962718963623]",Design Specifications,['battery'],0.43493396043777466
326,i thought i would be in to this watch using it the same a my other apple watch the battery will not last until evening the first day the cellular doe not work well enough to use alone without the phone spotify would not work with my airpods i could only play music i had downloaded to my watch the workout app constantly pause right in the middle of my workout i left my phone in the locker at the gym with cellular bluetooth and wi fi turned off and my watch kept trying to play music on it successfully instead of my airpods it is a cool looking watch though and it is not a huge watch like i keep hearing everyone say if you think it is huge you should probably eat more protein or something because you obviously have tiny dainty wrist,"['Software', 'Design Specifications', 'Advertising']","[0.401714563369751, 0.33923617005348206, 0.25904929637908936]",Software,['battery'],0.401714563369751
327,ngl i am a hardcore android user but the apple watch ha me thinking and the more or le 3 day of battery ha me hooked just need to buy an iphone,"['Software', 'Design Specifications', 'Advertising']","[0.7004620432853699, 0.16594064235687256, 0.13359731435775757]",Software,['battery'],0.7004620432853699
328,00 15 69percent battery nice mkbhd,"['Design Specifications', 'Software', 'Advertising']","[0.6114687323570251, 0.25238916277885437, 0.1361420601606369]",Design Specifications,['battery'],0.6114687323570251
329,it is cool but it is also going to be trash in a few year when you want an upgrade i would actually be interested in this watch if it wa more of a life time or 20 year proposition where the internal component could be updated paying this much money for something which will be obsoleted next year seems weird to me seems like an expensive toy i do have a garmin forerunner 945 i get week of battery and i love it it is a smart watch but it is also kind of dumb and feel like something i could have for a long time although i guess the battery will go sooner or later and it will be headed for the landfill,"['Design Specifications', 'Advertising', 'Software']","[0.5197609066963196, 0.24728688597679138, 0.23295222222805023]",Design Specifications,['battery'],0.5197609066963196
330,that is great battery life but dollar800 i do not mind charging mine lol,"['Design Specifications', 'Advertising', 'Software']","[0.4934958815574646, 0.26503071188926697, 0.24147343635559082]",Design Specifications,['battery'],0.4934958815574646
331,they should try making the ultra longer battery maybe 5 day or up maybe all will drool on the watch i will want it if it 5days 2 day is ok but let be practical,"['Advertising', 'Design Specifications', 'Software']","[0.42722365260124207, 0.3182506263256073, 0.25452572107315063]",Advertising,['battery'],0.42722365260124207
332,it is the battery if you want an apple watch you would like to wear it all day then wear through the night at time to monitor sleep and health for the benefit it is designed to provide without charging it every day,"['Design Specifications', 'Software', 'Advertising']","[0.6948283314704895, 0.16604316234588623, 0.13912849128246307]",Design Specifications,['battery'],0.6948283314704895
333,an apple watch is limited to battery power apple should made it with solar charging i wait for generation 15 and when the price is dollar399 00 instead of dollar799 00,"['Design Specifications', 'Advertising', 'Software']","[0.5122212767601013, 0.3253971338272095, 0.16238157451152802]",Design Specifications,['battery'],0.5122212767601013
334,a bit late here but i am looking for this watch when the model arrives to my country i have an se and week ago i had to call an ambulance because of my heart i am a heart transplant patient when the ambulance arrived the guy noticed my watch asked for my phone and check the daily rhythm and other stats he double checked with the machine and all after that he told me that maybe a series 7 or 8 would be nice cause it have other useful stats and i wa like ok then the doctor at the emergency room took my phone and did the exact same thing after spent the night at the emergency room i asked them about the watch they told me that they obviously double check everything with specialized machinery but the watch and phone give them an analysis of what wa happening earlier that day and week and is a reaaaally good addition now looking at the ultra i am tempted because battery alarm sound because i am 70percent deaf and all the stuff that the se do not have now is expensive but having those stuff make me feel a little le worried when i am outside in other country or similar situation i am not an extreme user a apple show in the video but i think all the people with heart disease love the watch and they could focus on that and have a lot of new potential user old people transplanted person etc,"['Design Specifications', 'Software', 'Advertising']","[0.41205668449401855, 0.30480849742889404, 0.2831348180770874]",Design Specifications,['battery'],0.41205668449401855
335,so lem me guess it straight apple expect u to buy a 1000dollar phone a 400 800dollar tablet and a 400 800dollar watch every 3 4 5 year a the battery becomes crap or the o becomes super outdated and or unsupported any middle class person who ha a family or a mortgage can not afford that crap unless you live on your credit card eat only unhealthy food like kraft diner r do not save money for rainy day it is not even close fun time we live in also all the environment friendly thing they claim to do when they try to push all these disposable gadget pure greenwashing android can be cheaper but is much worse for battery swapping or updating the o the only way i can afford gadget while paying my mortgage and being financially responsible saving money is buy them used in place like marketplace and run them into the ground until they basically explode,"['Design Specifications', 'Advertising', 'Software']","[0.4650150537490845, 0.2797052264213562, 0.2552797198295593]",Design Specifications,['battery'],0.4650150537490845
336,2 5 day of battery charge will have to wait till it hit atleast 7 day since this will not do well with multi day trek,"['Design Specifications', 'Software', 'Advertising']","[0.5023446083068848, 0.2540217936038971, 0.24363353848457336]",Design Specifications,['battery'],0.5023446083068848
337,i have a withings scanwatch it is not that smart a watch but it go about 4 week between charge apple ha just squared the reason i am still not buying any apple watch battery shape and size,"['Design Specifications', 'Software', 'Advertising']","[0.4001787006855011, 0.36687299609184265, 0.23294825851917267]",Design Specifications,['battery'],0.4001787006855011
338,until the next update that decrease your battery drastically lol,"['Software', 'Design Specifications', 'Advertising']","[0.6265313029289246, 0.23527856171131134, 0.1381901502609253]",Software,['battery'],0.6265313029289246
339,turn off cellular and tell u how long the battery lasted you never mentioned how well that worked,"['Advertising', 'Design Specifications', 'Software']","[0.5113704204559326, 0.3512329161167145, 0.1373966485261917]",Advertising,['battery'],0.5113704204559326
340,the main question is have you used it when your phone is near by i have an apple watch series 4 and the battery doe not even last for 8 hour if i use it only with the cell option,"['Software', 'Advertising', 'Design Specifications']","[0.38757166266441345, 0.35021719336509705, 0.2622111141681671]",Software,['battery'],0.38757166266441345
341,2 day lol fenix 7x take week to run out of battery even sense2 take almost whole week,"['Software', 'Design Specifications', 'Advertising']","[0.6286527514457703, 0.2157549262046814, 0.15559224784374237]",Software,['battery'],0.6286527514457703
342,some people work on a google server floor and would like the battery life flashlight data to not have their phone going through a metal detector all day and have health issue where finally temperature tracking is on the apple watch lol,"['Software', 'Design Specifications', 'Advertising']","[0.6269859671592712, 0.26707929372787476, 0.10593479126691818]",Software,['battery'],0.6269859671592712
343,the biggest problem with this apple watch is the price at that price it is in garmin fenix price point which ha a battery life of over 10 day it is feature are all higher spec that the apple watch it ha more accurate gps with 3 different source solar charging so the battery life is extended basically it ha load of feature that other watch already do better the lack of being able to connect to third party sensor like a chest strap is also frustrating if it were cheaper it would fill a space which doe not overlap with better device unfortunately it doe not,"['Advertising', 'Software', 'Design Specifications']","[0.4097134470939636, 0.30964523553848267, 0.28064125776290894]",Advertising,['battery'],0.4097134470939636
344,i need some help my ultra i turn to low power mode by noon and still by 1600 i am at 20 30percent battery it not on cellular mode however i get hundred of outlook notification some advice from someone pls,"['Advertising', 'Design Specifications', 'Software']","[0.4062691926956177, 0.3715789020061493, 0.22215186059474945]",Advertising,['battery'],0.4062691926956177
345,sound like you either have every single app running in the background constantly pinging and using up battery or you just got a bad battery in your watch i have had it for about 3 week and i have never had it last fewer than 2 full day,"['Software', 'Design Specifications', 'Advertising']","[0.5157185792922974, 0.256998211145401, 0.22728316485881805]",Software,['battery'],0.5157185792922974
346,not sure why everyone is praising the battery life i am laying in bed and it is gone down 3percent,"['Design Specifications', 'Software', 'Advertising']","[0.385239839553833, 0.35833507776260376, 0.25642508268356323]",Design Specifications,['battery'],0.385239839553833
347,ended that day by going to sleep with about 69percent battery brief pause nice hahahahahaha,"['Software', 'Design Specifications', 'Advertising']","[0.4304346740245819, 0.4011564552783966, 0.16840894520282745]",Software,['battery'],0.4304346740245819
348,my current apple watch series 5 get me throughout the day and ha lasted through all my half marathon a long a i remember to charge it it slipped off the charger and i almost lost the the last two mile of flying pig i do have issue sometimes with gps in city like chicago and manhattan the straight line that cut thru building and road are pretty annoying and mess with the pace but apple is made gps better with each watchos iteration i guess i do not absolutely need this version of the apple watch but i do like bigger watch face and the longer battery life will be nice my next run are vega and disney so gps will not be an issue but coming from series 5 i will get vox and that metric will be neat to see i will have to check out the band on your estore,"['Software', 'Design Specifications', 'Advertising']","[0.4679093658924103, 0.2763638496398926, 0.25572678446769714]",Software,['battery'],0.4679093658924103
349,i am tired of buying a stainless steel or titanium watch sapphire crystal that is disposable in 5 year all these premium material in a disposable watch just doe not make sense with all the genius sitting at apple they need to re engineer the apple watch where you can replace the battery easily 4 screw and replace the battery i like to argue the the apple watch is more expensive that most swiss watch if you consider you have no watch after a few year it a houdini watch now you have it next you do not why did i come to this point i have the apple watch original series this is now considered vintage by apple can not service it the battery died i paid 1 099 for it in 2015 stainless and sapphire crystal 2015 wa not so long ago in the watch world this ultra watch will not even last 10 year so is not this so expensive to own and use you will be still rocking your rolex 30 year from now the economics of apple watch is just plain bad for u perfect for apple the richest company in the world,"['Design Specifications', 'Software', 'Advertising']","[0.4313035011291504, 0.323459267616272, 0.24523717164993286]",Design Specifications,['battery'],0.4313035011291504
350,battery with lte network or wifi or any other connection may be show true battery consumption,"['Software', 'Design Specifications', 'Advertising']","[0.40741798281669617, 0.34330862760543823, 0.24927334487438202]",Software,['battery'],0.40741798281669617
351,answering my own question it is stronger strong enough to feel during vigorous exercise i am also getting 4 5 day battery life the watch is the best apple watch by far 8 10,"['Design Specifications', 'Software', 'Advertising']","[0.5476518273353577, 0.2905655801296234, 0.1617826372385025]",Design Specifications,['battery'],0.5476518273353577
352,battery life is not anywhere what i need and you still need an iphone impressive nevertheless,"['Design Specifications', 'Advertising', 'Software']","[0.6068382263183594, 0.22749529778957367, 0.16566647589206696]",Design Specifications,['battery'],0.6068382263183594
353,i just picked up the fenix 6 sapphire on sale to replace my apple watch just for the battery life i got tired of having to pack another charger around when i travel and go hunting i wa jealous of my buddy and their garmins and never having to charge them,"['Design Specifications', 'Software', 'Advertising']","[0.3700273633003235, 0.3681815564632416, 0.26179102063179016]",Design Specifications,['battery'],0.3700273633003235
354,i have never had an apple watch and just got my first iphone 13 pro max since the iphone 4 for me i will probably never use half the stuff that is capable in the watch but i just wanted to have the best apple watch on the market so i bought it the battery life 2k nit and aesthetic are enough for me,"['Software', 'Design Specifications', 'Advertising']","[0.39406681060791016, 0.30584070086479187, 0.3000924587249756]",Software,['battery'],0.39406681060791016
355,i just received the new ultra and the size is not a surprise from a 45mm i like the overall look but the battery is what i am waiting to see if it is going to do it for me i can not wait for that software update that is suppose to add more battery life a well the durability is what got me looking at this one a well i banged up my series 7 the glass around the curve wa always taking hit i like the flat top with the protective rim of the ultra it feel heavier to me than a 45mm when i put it on i wa like ok i thought the weight wa not a thing but it is noticeable,"['Software', 'Design Specifications', 'Advertising']","[0.43052437901496887, 0.33109357953071594, 0.2383819967508316]",Software,['battery'],0.43052437901496887
356,apple watch ultra battery life suck ball compared to amazfit garmin fitbit,"['Software', 'Design Specifications', 'Advertising']","[0.431743323802948, 0.42885106801986694, 0.13940554857254028]",Software,['battery'],0.431743323802948
357,good battery life until apple kill it next year with an update,"['Software', 'Design Specifications', 'Advertising']","[0.5835837125778198, 0.2650355398654938, 0.1513807624578476]",Software,['battery'],0.5835837125778198
358,battery life is shit to begin with any other smartwatch destroys the watch ultra in battery life,"['Design Specifications', 'Advertising', 'Software']","[0.41248658299446106, 0.31776487827301025, 0.2697485685348511]",Design Specifications,['battery'],0.41248658299446106
359,curious on what your setting are to get that kind of battery life that is well beyond apple is claim of 36 hour which is what i typically get,"['Advertising', 'Design Specifications', 'Software']","[0.34754106402397156, 0.33538809418678284, 0.3170708119869232]",Advertising,['battery'],0.34754106402397156
360,i am a garmin fenix user and i laugh at this battery life i get 2 week minimum out of mine with ten of gps activity,"['Design Specifications', 'Advertising', 'Software']","[0.39743608236312866, 0.3096792697906494, 0.29288461804389954]",Design Specifications,['battery'],0.39743608236312866
361,at 1 11 the airpod battery noise scared me and i had to listen again thought my airpods were dying,"['Design Specifications', 'Software', 'Advertising']","[0.5944023728370667, 0.23828758299350739, 0.16731005907058716]",Design Specifications,['battery'],0.5944023728370667
362,why doe it not have a ultra low battery mode already,"['Software', 'Design Specifications', 'Advertising']","[0.499263733625412, 0.37387752532958984, 0.12685871124267578]",Software,['battery'],0.499263733625412
363,wow 3 day battery life and all that can be yours for dollar800 apple can go suck a lemon,"['Advertising', 'Design Specifications', 'Software']","[0.7136379480361938, 0.20103852450847626, 0.08532353490591049]",Advertising,['battery'],0.7136379480361938
364,i ended that day going to sleep with about 69percent battery nice,"['Design Specifications', 'Software', 'Advertising']","[0.447855144739151, 0.3970501720905304, 0.15509472787380219]",Design Specifications,"['battery', 'battery']",0.447855144739151
365,69percent battery nice getting a thumb up just for that,"['Design Specifications', 'Software', 'Advertising']","[0.4961778223514557, 0.2708257734775543, 0.23299641907215118]",Design Specifications,['battery'],0.4961778223514557
366,garmin is laughing at that battery life,"['Software', 'Design Specifications', 'Advertising']","[0.45567959547042847, 0.4324222505092621, 0.11189821362495422]",Software,['battery'],0.45567959547042847
367,garmin user here when apple can reach the 2 week battery life then i can think about switching,"['Design Specifications', 'Software', 'Advertising']","[0.43571269512176514, 0.36074498295783997, 0.2035423219203949]",Design Specifications,['battery'],0.43571269512176514
368,marque 69 percent battery life nice lmaoooo,"['Design Specifications', 'Software', 'Advertising']","[0.5798124670982361, 0.23313455283641815, 0.18705300986766815]",Design Specifications,['battery'],0.5798124670982361
369,i am 100percent happy with my garmin epix 2 with awesome screen offline map and 2 week battery life,"['Software', 'Design Specifications', 'Advertising']","[0.48022472858428955, 0.3510330319404602, 0.16874219477176666]",Software,['battery'],0.48022472858428955
370,hey apple i do not care about sport diving or climbing i am a regular office worker with mostly outlook notification how about a week of battery life no thought so,"['Software', 'Design Specifications', 'Advertising']","[0.5312210321426392, 0.34990552067756653, 0.11887342482805252]",Software,['battery'],0.5312210321426392
371,battery life is trash garmin 7 for me,"['Design Specifications', 'Advertising', 'Software']","[0.617699921131134, 0.2013622224330902, 0.18093787133693695]",Design Specifications,['battery'],0.617699921131134
372,battery still suck people will still buy this for luxury not necessity,"['Design Specifications', 'Advertising', 'Software']","[0.6381587982177734, 0.27949589490890503, 0.08234535157680511]",Design Specifications,['battery'],0.6381587982177734
373,the main reason i left behind my apple watch wa for battery life i really really liked my apple watch and what i wanted it to do i wanted it to track my sleep step and calorie i did not use most of the other stuff it could do i went over to a garmin forerunner 945 and like it too it doe a million thing i will never use but i literally get 8 10 day on a single charge i know there are a plethora of other smart watch that get 5 10 day on a single charge what the heck can not apple create a watch that doe that i am sure this new watch will get 3 5 day if you are not going crazy with every single feature for me i want sleep tracking step and track my workout that is it i might think about going back to the apple watch the ultra but 8 hundo is pretty steep my garmin wa 6 hundy which is a lot dollar200 more for the ultra it is dope though,"['Design Specifications', 'Software', 'Advertising']","[0.392031192779541, 0.3825657069683075, 0.22540314495563507]",Design Specifications,['battery'],0.392031192779541
374,well i am no athlete but i am excited to try the sleep tracking coming from the series 5 though what i want to ask is how low can i get the battery while keeping it in a good cycle meaning i will not destroy the future battery of the apple watch for i remember back in the series 5 or so time it wa recommended to charge your watch and not let it go under 50percent of charge so i just want to ask how low can i push the battery without destroying the future use of the apple watch for all day and all night use,"['Software', 'Design Specifications', 'Advertising']","[0.38164785504341125, 0.37596914172172546, 0.2423829287290573]",Software,['battery'],0.38164785504341125
375,you can utilize the feature of apple watch ultra if you are an athlete but man look at that it impressive especially the battery life i mostly use my apple watch to track my sleep i am not athlete nor heavy workout person but i still want that i think it is worth it to upgrade,"['Software', 'Design Specifications', 'Advertising']","[0.3868265151977539, 0.37602469325065613, 0.23714880645275116]",Software,['battery'],0.3868265151977539
376,el a g itr n it is not a bad watch but personally i like the garmin tactix better i have used the ultra in the same situation i use the delta and the feature are a little better garmin is just an all around outdoor watch the ultra is not bad but i would use it if i had to the battery life between them both is just not comparable so if your planing on being out for day at a time i would not recommend the ultra i got the ultra more for when i am on my bike especially using the gps feature for when i am in the road i did test it out in the wood and it not bad just try to cary an external power supply,"['Design Specifications', 'Software', 'Advertising']","[0.5045499205589294, 0.24916836619377136, 0.2462816834449768]",Design Specifications,['battery'],0.5045499205589294
377,ill stick to my garmin battery life is much better,"['Design Specifications', 'Software', 'Advertising']","[0.46116432547569275, 0.29402995109558105, 0.2448056936264038]",Design Specifications,['battery'],0.46116432547569275
378,haha battery life is the only reason i want this watch,"['Design Specifications', 'Advertising', 'Software']","[0.4208186864852905, 0.3537302315235138, 0.22545111179351807]",Design Specifications,['battery'],0.4208186864852905
379,it should have the battery life at least 5 day to compete with garmin all the feature are cool but those people would not budge in 36 hour battery life,"['Design Specifications', 'Software', 'Advertising']","[0.4805293381214142, 0.27846360206604004, 0.24100707471370697]",Design Specifications,['battery'],0.4805293381214142
380,why i left apple watch is because of battery life i can not enjoy wearing my apple watch for at least a week without having it charged everyday so i am currently wearing garmin tactix 7 pro ballistic it last me month or so without charging same material a the new apple watch ultra it ha more what can apple watch ultra could offer for daily and other rugged activity,"['Design Specifications', 'Advertising', 'Software']","[0.36981239914894104, 0.3423234820365906, 0.28786417841911316]",Design Specifications,['battery'],0.36981239914894104
381,returning mine today after work gave it a 24 hour test battery wa at 50percent after one full day going back to fitbit 5 day battery huge fail for apple,"['Design Specifications', 'Software', 'Advertising']","[0.44096460938453674, 0.38134875893592834, 0.1776866763830185]",Design Specifications,['battery'],0.44096460938453674
382,battery huawei,"['Design Specifications', 'Software', 'Advertising']","[0.7443420886993408, 0.14022265374660492, 0.11543524265289307]",Design Specifications,['battery'],0.7443420886993408
383,casio watch battery go 10 year,"['Design Specifications', 'Software', 'Advertising']","[0.6894722580909729, 0.19986867904663086, 0.11065909266471863]",Design Specifications,['battery'],0.6894722580909729
384,i would buy it just for the better battery life phone clarity volume and gps i do not care about anything else,"['Advertising', 'Design Specifications', 'Software']","[0.4036397337913513, 0.3601929247379303, 0.23616734147071838]",Advertising,['battery'],0.4036397337913513
385,i think this watch is not enough for the price gbp800 and you get 3 day if you are lucky all the people who this product is aimed at are probably already into the garmin ecosystem and have been using watch like the fenix with 21 day battery life for year,"['Advertising', 'Software', 'Design Specifications']","[0.47785115242004395, 0.2823055684566498, 0.23984335362911224]",Advertising,['battery'],0.47785115242004395
386,if apple watch ultra can not connect to diving equipment it is useless for proper diver and it doe not have the tech to connect to your oxygen tank to see the oxygen level remaining apple watch ultra is a luxury item with a big battery it is not for diver and with screen at max brightness it will die long before you finish a very long bicycle race for example,"['Design Specifications', 'Software', 'Advertising']","[0.5922222137451172, 0.2573770582675934, 0.1504007875919342]",Design Specifications,['battery'],0.5922222137451172
387,i wear an apple watch 5 45mm and i just got this and can not wait for the awesome battery life i am a woman and i like big watch,"['Software', 'Design Specifications', 'Advertising']","[0.5334309935569763, 0.2763367295265198, 0.19023224711418152]",Software,['battery'],0.5334309935569763
388,stupid question but if this phone is for endurance athlete how would you charge your battery if you a hundred mile in the wood or on top of mount everest,"['Design Specifications', 'Software', 'Advertising']","[0.7582083940505981, 0.12187021970748901, 0.11992137879133224]",Design Specifications,['battery'],0.7582083940505981
389,it amazes me how a dollar100 watch battery can last for over a week and a dollar800 watch battery can only last two day and you call that good a a matter of fact my health insurance sent me the watch for free that they paid dollar50 for,"['Design Specifications', 'Advertising', 'Software']","[0.6163491606712341, 0.21737216413021088, 0.166278675198555]",Design Specifications,['battery'],0.6163491606712341
390,i have my og galaxy watch and the battery last about 5 day straight,"['Design Specifications', 'Advertising', 'Software']","[0.5460882186889648, 0.26658323407173157, 0.18732859194278717]",Design Specifications,['battery'],0.5460882186889648
391,i am probably considered an average user but the battery of the ultra is very appealing i use for sleep tracking for health so very appealing indeed to have a few day wear without charging is it nice looking on woman wrist too my wrist are kind of small so i worried about the aesthetic but it is very appealing especially for the charging great review thank you,"['Design Specifications', 'Advertising', 'Software']","[0.48017239570617676, 0.29577234387397766, 0.2240552455186844]",Design Specifications,['battery'],0.48017239570617676
392,so basically it ha the amount of battery life a normal apple watch should already have lol,"['Design Specifications', 'Software', 'Advertising']","[0.4412345290184021, 0.42538270354270935, 0.13338279724121094]",Design Specifications,['battery'],0.4412345290184021
393,im returning my se 2 for an ultra i do lot of activity outside and workout 5 day a week i feel like ultra is win for me and it different compared to other watch the battery life got my attention,"['Design Specifications', 'Advertising', 'Software']","[0.4225330054759979, 0.325194776058197, 0.25227224826812744]",Design Specifications,['battery'],0.4225330054759979
394,maybe it is just not convenient for enough people but i use my galaxy watch for week to well over a month without charging becasue i put in on battery only mode when i am not in need of additional feature of course charging is not really an issue either unless you are sleep tracking but it is just one of those thing that i do not understand how the battery life is an inconvenience there are plenty of time during the day when you can charge it up while doing something else,"['Design Specifications', 'Advertising', 'Software']","[0.519473135471344, 0.2585553526878357, 0.2219715565443039]",Design Specifications,['battery'],0.519473135471344
395,i am really interested in this watch because of the longer battery life the compass and the red light filter while i understand that battery life is pretty limited on the normal apple watch i find that the compass app and the filter are thing they definitely could add i am not into any extreme sport though so i can not justify buying an apple watch ultra,"['Software', 'Design Specifications', 'Advertising']","[0.419328898191452, 0.32721182703971863, 0.25345921516418457]",Software,['battery'],0.419328898191452
