,title,rating,comment,timestamp,Sentiment,Sentiment Confidence Score
270,Great But Battery Life Not Very Good,4.0,"The Apple Watch is great and the features are very good.  However the battery life is not very good.  I have to recharge it every night.  I thought the battery would last at least a couple of days, but I have to charge it every night so I am unable to have it record my sleep patterns.","February 12, 2023",NEGATIVE,0.9880973696708679
271,Happy,5.0,Happy,"March 27, 2023",POSITIVE,0.9998753070831299
272,"Used a cheapo electronic watch for years, got this for xmas, love it",5.0,"Yes I do own an iphone but not a Apple maniac, had a electronic knockoff watch for the past few years and was given this for Xmas, very happy with it, linked to my phone so can dictate text messages when I have my hands full or my phone is somewhere in the houseDidnt get the Cellular version as the phone companies figure its another phone so charge you for another line *^#*@(* but for my needs its perfect, not really sure how many people need the cellular version, as long as you have wifi you dont really need it","February 7, 2023",NEGATIVE,0.8749372363090515
273,Wife love this watch,5.0,Bought this SE watch for my non-technical wife. It’s easy to use and my wife loves it.,"March 15, 2023",POSITIVE,0.9997014403343201
274,Daily info,5.0,No Comment,"March 27, 2023",NEGATIVE,0.9760733842849731
275,This Apple Watch has so many features,5.0,Used on a daily basis and enjoying all features,"March 17, 2023",POSITIVE,0.9998592138290405
276,Battery,5.0,"The battery in my old watch I have had 5 or more years and that battery is going strong on that and it only cost $55  and this apple watch was almost $300 and the batter needs charged every 12 hours or 24 or it dead..... being it cost $300 almost, the battery should last 10 years or more before a charge","February 19, 2023",NEGATIVE,0.996677041053772
277,Works well for what I need.,5.0,I had to buy a different band but the actual watch works well.,"March 13, 2023",POSITIVE,0.9991484880447388
278,Great purchase!! Awesome gift!!!,5.0,Battery lasts a long time! Great quality and it looks great!!,"March 13, 2023",POSITIVE,0.9998112320899963
279,Great!,5.0,"This watch is amazing! It can do so much, With some really cool features such as the mickey or minnie watch face and when you tap them it says the time in there voice! So cute! The only thing pretty much is that its not a usb charger. It come with the charging wire, but you need a specific head for it! Thankfully, Awhile ago i bought an ipad that came with a charging head perfect for the watch charger. If you have a oculus, im pretty sure you could use that head too because my sister has one and the head for it works! All in all, i'd 100% recommend, Just make sure you also purchase the right head with it!","January 25, 2023",POSITIVE,0.9974974989891052
280,Muy buen reloj,5.0,Excelente producto,"March 22, 2023",POSITIVE,0.9970152378082275
281,Wife loves it,4.0,"Wife loves it, seems to work great but it has to be charged every nite","March 2, 2023",POSITIVE,0.9940512776374817
282,they dont tell you HOW TO CHARGE IT,4.0,THEY DON'T TELL YOU WHAT TO CHARGE IT INTO!  ITS A VERY SMALL PORT TYPE IT ONLY FITS A PORT ON MY COMPUTER TO CHARGE THE DAMN WATCH.  NO INSTRUCTIONS ON HOW TO CHARGE THE WATCH! Something was either missing or just bad directions which doesnt seem like Apple.  I should have bought this watch from Apple not Amazon.  Big waste of my time. Buyer beware of the instructions.  The watch doesnt come powered up.  The instructions tell you it comes on right away. It doesn't!  Not happy.,"January 12, 2023",NEGATIVE,0.999657154083252
283,"watch seems fine, but i cannot use.",5.0,"I am completely heartbroken,DO NOT BUY IF YOU DON'T HAVE AN iPhone 8 or higher with ios 16 or higher!!ALSO DOES NOT COME WITH TYPE C WALL CHARGER REQUIRES IT TO BE PURCHASED SEPARATELY.I have wanted an Apple watch for a while now but i am disabled and very low income.after looking things up and going back and forth with my decision I finally landed on making the purchase because I felt informed enough and I still had deeply wanted one.I ordered it and got it a few days later, started setting it up and, bam first issue, no wall charger...found one and ordered it with 2 options, either order it overnight for an additional charge or wait a week for it to get here.I ordered it and it arrived, watch charged fine,then BAM second issue, it REQUIRES pairing with an iphone""luckily"", I thought, I had one from a purchase from a birthday gift a couple years agoI got the phone charged and turned on but the watch pairing said the ios was not updated on the phone. so I initiated the update and install,few minutes later the phone was updated, tried the pairing again and BAM another issue,the ios for iPhone 7 apparently only goes up to ios 15.5.7 or something like that and i am now stuck trying to figure out if I should keep the watch and save up for a refurb iphone 8 or higher or send the watch back for a refund.Heartbreaking :(","December 2, 2022",NEGATIVE,0.9989932179450989
284,Scratches easily but I like it,4.0,Love this watch. Battery life could be better but its alright. One thing to beware of is the amount of scratches this thing gets and the photo is only within 50 hours of using it. I will be buying screen protectors because there are many more tiny scratches that my camera wont pick up,"January 28, 2023",NEGATIVE,0.934100866317749
285,Good watch,5.0,Nice watch,"March 18, 2023",POSITIVE,0.9998376369476318
286,Best,5.0,Best,"March 17, 2023",POSITIVE,0.9997941851615906
287,Really nice watch,5.0,"I have small wrists, and it was just the right size. Feels great and works well!","March 6, 2023",POSITIVE,0.9998718500137329
288,Nice watch,5.0,Granddaughter loves the watch.uses it daily,"March 7, 2023",POSITIVE,0.9995933175086975
289,Wish the texting was better.,4.0,"Liked the black color as it matches with any band. 44mm felt large at first but it’s helpful to see everything. Only downfall is the texting element. Previous versions/software updates had a tiny keyboard you swipe across and it uses predictive text to pick your word. This one has a voice text option, and instead of a keyboard, a little screen on which you write each letter with your finger. You have to press space after each word, and doesn’t understand cursive so you have to lift your finger each time. Some letters are confused for others (I.e.: if I want to write 1, I can’t just draw a line. I have to draw a classic one. J’s can be U’s, p’s can be misconstrued as b’s if you’re going too fast.) It takes forever and is annoying and unhelpful in times when it’s inappropriate to use voice text. Unsure if it’s the newer watches or a software thing.","November 10, 2022",NEGATIVE,0.9903468489646912
290,Todo bien,5.0,Lo único malo es que la batería se descarga rápido,"March 6, 2023",NEGATIVE,0.9396659135818481
291,Fast Shipping,5.0,"Fast shipping, everything is okay","March 7, 2023",POSITIVE,0.9998226761817932
292,Excellent Apple product,5.0,Excellent Apple product watch. Bought this watch for my son for Christmas. He absolutely loves it. Of course I bought mine about five years ago and Apple watches are great.,"February 21, 2023",POSITIVE,0.9998646974563599
293,nice,5.0,my wife love it,"March 6, 2023",POSITIVE,0.9998733997344971
294,Great but wrong band size,4.0,The watch is great but its 40mm and the band was 41mm. Thankfully I purchased a different band anyway but just a little disappointing. I’m terrible about returning things. I’ve already connected my phone to the watch and don’t know if I would have to return the whole thing if I did want the correct size. Love the watch though!,"January 12, 2023",NEGATIVE,0.9952901601791382
295,Fantastic Gift,5.0,Bought this for my kid and she absolutely loves it.  Great value for the price and would absolutely purchase again.,"February 21, 2023",POSITIVE,0.9998824596405029
296,Great watch,5.0,Easy to charge and wonderful connectivity.,"March 6, 2023",POSITIVE,0.9998899698257446
297,Gotta Have an iPhone to Use It,4.0,"I did not know that one has to have an iPhone to set up the Apple watch.  Not being Apple people here, I was very disappointed to learn that I could not set it up using an android phone.  So I returned it to Amazon with absolutely no problem and got my refund in a couple of days!  Way to go Amazon!!!  So, I bought a FitBit from Amazon and my wife loves it.","January 3, 2023",NEGATIVE,0.9309498071670532
298,Awesome value - the best Apple Watch for most users,5.0,"After switching back over to an iPhone, I decided to give the Apple Watch SE 2 a try since it was on sale for Black Friday. I didn't think there would be much use for it other than the fitness tracker but I was pleasantly surprised. The fitness tracking is great but I am highly suspicious of the estimated calories burned when tracking traditional weight training. Having Apple Pay on your wrist is really convenient and the walkie-talkie function is super cool. I also like how you can answer phone calls from your wrist in case your phone isn't on you at the time. I am terrible about charging my devices so I wish the battery life was better but you can get through a solid day and a half if you aren't fiddling with the watch too much. If you don't care about having an always on display and are a dude like me that doesn't need a thermometer for menstruation tracking, get this one and save a bunch of money.","December 28, 2022",POSITIVE,0.8452759385108948
299,Perfect!,5.0,Great quality watch from Apple,"March 7, 2023",POSITIVE,0.9998096823692322
300,Solid wrist piece,5.0,"The media could not be loaded.
                



 I waited a long time to get at Apple Watch and this is the one to get. Big face, lasts a couple days, charges to 100% while you’re in the shower, notifications quicker, haptic alarm clock, fitness tracker.","April 2, 2023",NEGATIVE,0.9925892353057861
301,Just so you know,4.0,"I wish someone would’ve wrote that or they should let you know that you need a different thing that you plug in the wall. You can’t use the regular ones if they were to let me know I could’ve ordered it so I don’t know the answers to the other questions because I can’t charge it yet, but I’ll let you know when I do how it goes but just make sure you buy one of them","December 27, 2022",NEGATIVE,0.999168872833252
302,Battery,4.0,The battery doesn’t last as long as I had hoped,"February 7, 2023",NEGATIVE,0.9908754825592041
303,Apple Watch band,5.0,Much better for smaller wrists.,"March 2, 2023",NEGATIVE,0.8997167348861694
304,Buena calidad,5.0,Buen estado,"March 5, 2023",POSITIVE,0.9597795009613037
305,Perfect,5.0,As ordered,"March 5, 2023",POSITIVE,0.9183170795440674
306,Almost a duplicate of my Series 3,4.0,"I recently decided to pass along my Series 3 as an entry level gift to my parent. The watch is pretty, sleek, and well designed. There's no doubt about that. It's just about the same exact watch, with a few additional features that aren't all that revolutionary. The battery life is about the same as well, if not worse. I charge it and the battery is already 45% through half a day. My 3 was lasting all day and would end up about 60% by the time I lay down.Overall, I'm neutral on this device. It's nice, though, but I slightly regret passing off my old watch.","November 28, 2022",NEGATIVE,0.9353747367858887
307,Great Second Iwatch,5.0,I used this IWatch to replace my first one and it works great.  The screen is a little bigger which is nice.  I'm sure this one will last several years like the first one did.,"February 4, 2023",POSITIVE,0.9998617172241211
308,Great watch,5.0,Got his for the wife for Christmas she loves it,"February 24, 2023",POSITIVE,0.9997560381889343
309,Apple Watch is great!,5.0,"This was for my wife, she likes it! The SE is not as many features as the regular Apple watches but fits what she needs.","February 13, 2023",POSITIVE,0.9979231953620911
310,Love the fit,5.0,"I've always wanted to purchase an apple watch but was hesitant because I have small wrist and most face watches don't sit right.  I decided to purchase the 30"" face and it fits perfect.  This watch app was easy to set up as  I didn't need by kids or grandkids to help...lol.  I'm enjoying the fitness portion of the app.  I've made a great choice on this product.  In addition, AMAZON offered 6-mo financing which was a big plus of the purchase.","January 18, 2023",POSITIVE,0.9987660646438599
311,Good for smaller frames,5.0,"I'm a woman with a small frame (5'5"" but a 5.5"" wrist, so.... tiny) and I wore the Apple Watch 8 41mm for a bit but it was just too large even at that size. I swapped it out for the SE and the 1mm reduction in screensize is not a negative at all, and the size difference is a big positive on my wrist. This one is actually comfortable to wear.For $250, this is a good watch. Battery life is the same as the Watch 8. Charging speed is similar. If you don't think you'll want features like the always-on screen and the temperature tracking (I didn't like or use either of those features), save your money and get the SE instead.","January 4, 2023",POSITIVE,0.9545148015022278
312,It's handy!  You don't have to carry your phone all of the time!,5.0,Good tool to talk and text.  Also like the activity tracking features!,"February 17, 2023",POSITIVE,0.9996809959411621
313,i love my watch….,5.0,this watch is perfect….i had previously purchased an apple 4 cellular watch brand new for about $500 bucks …watch os7 trashed my battery life…i was charging that watch twice daily….(i feel apple knew what the problem was but didn’t care…i got absolutely no help from them at all)…so i decided to get a new watch but as cheap as i could because i will NEVER spend big bucks on apple products again…enter se 2 gen watch and it is just what my other watch used to be….i can even wear this for over two days and still have about 25 to 30 percent battery…true this does not have the ekg thing my 4 did but who cares…if that is important to you go with it…not for me..i wanted battery life….i will now keep apple care for as long as i have this watch but i loved the fact that this was so inexpensive (235.00) compared to what i paid for the other one…,"December 13, 2022",NEGATIVE,0.8427417278289795
314,Apple did it again!,5.0,"I bought this watch after being a Fitbit user for years & my last watch absolutely died! I was conflicted on either staying with Fitbit or getting an Apple Watch.I have Apple accessories, so it only made sense to stay in the family, right?!Shopped around for the right Apple Watch, for me. And since I am big into fitness, I needed another watch-pronto! Hence, Amazon!When I came across this beauty, I read the reviews, saw the Apple warranty and decided to go for it!Price was decent. Delivery time was great! And, the color of both the watch and band were nice!When it arrived a couple days after purchase, I felt like a little kid on Christmas!It took me a second, though, to learn this new device’s ins-and-outs. But after I did, I now ask myself what took me so long to switch!?Even though the battery life isn’t perfect (a day and a half), it’s not bothersome due to its other great features.The best feature so far to me is the dial-I can control my AirPods volume with it! Amazing I tell ya! I’m hooked on this watch now, and you will be too-LOL!","November 21, 2022",POSITIVE,0.9849119186401367
315,Love this watch,5.0,"Wasn’t sure if I would like an Apple Watch, so I wanted to try the SE Second generation. This watch does everything I wanted it to. I use it to track all of my steps and all of my different workouts. I also love that I can get and send texts from my watch. The only thing I can’t do is send or receive texts if my phone is not nearby. I would def purchase this watch again.","January 16, 2023",NEGATIVE,0.5498620271682739
316,Me,5.0,Love it,"February 26, 2023",POSITIVE,0.9998753070831299
317,Great watch!,5.0,The watch came in brand new in its original container. It works fabulously! It has so many new features that my old watch did not have. No issues with the watch at all.,"February 3, 2023",POSITIVE,0.9997584223747253
318,Good one,5.0,Bought for my parents they loved it,"February 19, 2023",POSITIVE,0.9994514584541321
319,Apple Watch,5.0,This watch for gift so they’re looking latest brand. Thank you,"February 16, 2023",POSITIVE,0.9997381567955017
320,This watch is great.,5.0,"Like all apple products, this watch is excellent. It’s accurate and intuitive and very easy to use. It definitely is a quality product. I’ve had 3 fitbits and this is truly an upgrade.","February 2, 2023",POSITIVE,0.9998434782028198
321,Very easy to use and high-tech.,5.0,"I love all products from Apple. No complains. Well, I hope that the price can be lower...","February 13, 2023",NEGATIVE,0.9486154317855835
322,Purchased as a replacement for my series 2,5.0,"I felt this was the best value for my money.  I was already familiar with my earlier apple watch so the mobile app was good and easy to use just like with my series 2.  If you are considering this watch look at the difference between the SE and 8 or 8 plus.  Further, if battery life is an issue the 8 plus offers  by far the longest battery life. They have the always on face and a couple of features which the SE does not. The always on face and other features were really not important to me.  However, go to the Apple Website and look at the feature comparisons.  They may very well be worth you spending a little more money for the upgrade.  You can't go wrong with an Apple watch just make sure you get the watch you want with the features that are important to you.","December 3, 2022",NEGATIVE,0.9889094233512878
323,i love <3,5.0,"The media could not be loaded.
                



 this is such a pretty watch 🥺i was so worried i’d get it scratched but nopeit came in the original packaging the only thing is that it was opened for inspection (there’s a sticker and tape around the watch box to check that it’s the actual watch lol) but i didn’t care and overall it’s so good 😭i’d def recommend it <3","February 12, 2023",POSITIVE,0.5449756383895874
324,Nice Update,5.0,This is my second Apple Watch- the other fell apart after 6 years- but so far so good with this one.  It has functions the old watch didn't have (I really like the bpm on the face of the watch). My only criticism is it didn't come with a charging plug to the wall outlet. I'm having to unplug my iPad outlet to charge the watch. Ugh.,"January 20, 2023",POSITIVE,0.9643236398696899
325,Tiz what it tiz,5.0,You know,"February 22, 2023",POSITIVE,0.9976168870925903
326,It’s nice,5.0,It’s a good watch but honestly I don’t wear it to much,"February 14, 2023",NEGATIVE,0.9721481204032898
327,Awesome,5.0,It came perfectly,"February 21, 2023",POSITIVE,0.9998641014099121
328,Espectacular,5.0,"Muy buen reloj, tiene todo lo que necesitas y mas por un costo accesible","February 14, 2023",NEGATIVE,0.959982693195343
329,Happy I purchased!,5.0,"I am so happy I bought my Apple Watch. Overall I love my watch for keeping track of exercise and taking incoming calls and texts. I feel like it helps me stay off my phone but aware if someone messages me. I know someone with an older version and I can definitely tell the difference in speed while doing normal typing/ scrolling etc. I am glad I got this one due to the not lagging speed compared to other. I can get two days battery life out of my Apple Watch. The charge is fast, but extended battery life is always a plus for future improvements.","January 10, 2023",POSITIVE,0.9573943614959717
330,I love it.,5.0,"I really like it, but lost of scratches accumulate on both the watch, the case, and the screen. I also noticed that my fingernails imprint a crescent on the band.","February 3, 2023",NEGATIVE,0.9943379759788513
331,Poor customer service from Apple.,4.0,The charger provided did not work. Apple did not supply a replacement but I could purchased a new one. This is poor customer service on a new item.,"January 10, 2023",NEGATIVE,0.9997288584709167
332,Works Amazing!,5.0,"To begin with, the package came in earlier than expected. It's also my first time ordering an Apple watch off of amazon and it worked beyond amazing. I recommend getting this apple watch, this series is amazing!","January 27, 2023",POSITIVE,0.999622106552124
333,Love it 🖤,5.0,"Im not up to date on technology, but the watch was easy to set up. The battery life is great. Still exploring its capabilities on the watch. All in all i loving it!","February 1, 2023",POSITIVE,0.9998434782028198
334,Watch band is ajoke,3.0,My husband was shooing a bug out of the car window and the watch band came loose and his watch flew out the window and to have it fixed costa almost as much as some of the watches! Get a different band is my suggestion. I bought it for him for Christmas and now it’s useless!,"March 30, 2023",NEGATIVE,0.999750554561615
335,Great smart  watch for the price,5.0,"I have the 7 and got two of these for my daughter. I was A littler nervous and read all the reviews carefully. Other than it doesn’t do the EKG, it does everything my 7 does for 1/3 of the price.","January 22, 2023",POSITIVE,0.9979828596115112
336,Satisfied,4.0,"This is my first time buying smart-watch, and was beyond my expectation.Goes well with my iPhone, applepay and now it is totally part of my life.Also it gave me an opportunity to re-think about my daily activity, sleep quality, etc..Definetely recommend.","December 20, 2022",POSITIVE,0.9994451403617859
337,"OK product, may come open",3.0,"The watch was OK as product; tried to activate it but the battery life was very short, as if it was not charging correctly. The second watch I didn't even take it out of the box as it was missing a strap.I set it up a bit before send it back because the box was open and didn't look like it was new.It may be an issue with the specific seller, can't say, but out of 2 purchases, both arrived not sealed.","March 16, 2023",NEGATIVE,0.9987097978591919
338,MUST READ!,3.0,"If you are having trouble pairing this to your iPhone please read the following review. First you must have an iPhone 8 or newer model. Second, and most importantly, you must be running iOS 16 or greater. I got this watch a few days ago and I could not wait to pair it with my iPhone 13.It would pair then unpair and over and over again. I tried to manually pair it, I reset my phone, the watch, my network settings (all of these tips were found online) but none of them mentioned needing the latest iOS. My phone updates automatically so I assumed I was on the latest iOS. I was not.It took me about 45 minutes for the phone and watch to update and finally pair.This watch is good but not great. The battery life is just not there yet. If you want to wear this watch for the fitness aspect of it and track your sleep data as well as have it as a shortcut to read messages and see notifications throughout the day it doesn’t give you much time during the day or night to charge it. I did all the battery saving tips and it was still only good for about a day and a half. Kinda like my phone. And it gets worse if you want full functionality.I also wanted to use this with my Arccos golf tracking system but the battery really goes quick using gps for an entire round of golf and it does not give you anything more than a very plain numeric only display with basic yardages. It was very comfortable to wear and it does have very cool customizable watch faces but the poor battery life was a deal breaker. Sorry but it’s heading back.","November 9, 2022",NEGATIVE,0.9991232752799988
339,SE watch,4.0,I’m happy with my watch,"January 14, 2023",POSITIVE,0.9998784065246582
340,Entrega rapidisima,5.0,100% nuevo,"February 17, 2023",POSITIVE,0.9967449903488159
341,Elegant,5.0,This made a great Christmas gift for my significant other. She absolutely loves the color and design. I do wish this had the option to ship with the smaller band as she has very petite wrists.,"January 21, 2023",POSITIVE,0.9996576309204102
342,Not for family plan - need cell model,3.0,"If you are wondering if this is the model to get if you want to hook this up to your phone or your family plan (for your kid) the answer is ""NO"" - this is GPS only and you need the model that has cell as well as GPS. We studied this question, and could not get a definitive answer, so bought this model because some reviews seemed to indicate this model would do the job. It did not.When we tried to hook it up this did not work out as planned. The details are in the fine print. Save yourselves the headache, spring for the extra $$ and buy the cell model. The ""cel"" model has its own phone #  - When you link the watch to your phone you can decide whether to use the watch as a phone or not (in other words, does not have to ring) but without the cell you will be unable to use this for your kid to send messages or to know their whereabouts.Sometimes technology is not easy. Apple also generally assumes you know more than you do and their explanations do not always get you where you want to be. It's not you, its them.","December 24, 2022",NEGATIVE,0.9989556074142456
343,Fast service no problems at all with the watch,5.0,Had to wait to give  a review so far everything is working as should no complications with the watch the the shipment was fast and personally delivered. So it's all 5 stars for me,"January 22, 2023",POSITIVE,0.9981185793876648
344,Great Apple Watch for and Affordable Price,5.0,"I got this watch for a very affordable price as a Christmas gift. While it’s doesn’t light up all the time, I’m happy as it gives me privacy and improves the battery life. As an introduction into Apple Watch, this is a great watch to start.","January 12, 2023",POSITIVE,0.9997652173042297
345,A nice watch,5.0,"I purchased this in November for my birthday and so far like it a lot. I have no trouble with the battery life, it lasts a long time. The screen display does go off and it comes back on when you move your wrist up…occasionally it isn’t as responsive as I would like it to be, but this feature does save on battery life and it’s not a deal breaker for me. I’m pleased with the functions of this watch and would buy again. It does motivate me to exercise more.","December 26, 2022",POSITIVE,0.9864891767501831
346,"Le encantó a mi novia, excelente producto",5.0,"La compatibilidad que tiene con el iPhone es excelente, adicional la batería y comodidad le da un valor agregado","February 2, 2023",NEGATIVE,0.6517887115478516
347,Love It!,5.0,"This is why I am most favorite purchases in a long time.  I love the Fitbit watch that my husband had  purchased for me several years ago, but it was time for an upgrade.  This watch is a good starter watch I think into the Apple series, especially for those like me or not tech savvy. . It comes with a lot of cool features for working out and a lot of programs that I’m still discovering.  Battery life doesn’t seem as long as my Fitbit however, because of all the cool features that it offers I understand why the charge speed he’s pretty fast.,  on a scale of 1 to 10 I am definitely at 10 with my purchase stay on satisfied.","November 16, 2022",POSITIVE,0.998950719833374
348,Battery life kinda stinks,5.0,"The battery lasts for about 2 days with everything turned off and minimal use, less than a day with every function on. I feel like we can do better, but here we are. I like it and basically use it to track exercise, steps, and sleep. It seems to be pretty accurate. I don’t think I’ll replace it when it doesn’t update anymore.","January 5, 2023",POSITIVE,0.9930630326271057
349,Love my purchase!,5.0,I bought it for my husband ad Christmas present. He loves it. It not the latest model but he just want something he can check his email or text messages without looking at his phone.,"January 19, 2023",NEGATIVE,0.9004107117652893
350,Love it !,5.0,"Overall I love the watch, I love that you can alert your phone from it if you misplaced your phone, you can answer calls on it.My only dislike is having you write out your text messages, definitely would be so much better even with a T9 keyboard!","January 11, 2023",POSITIVE,0.9696385860443115
351,Excelente producto,5.0,Excelente producto,"February 10, 2023",POSITIVE,0.9970152378082275
352,Convenient and cool but not needed,4.0,Mostly a fun toy for grown ups. Battery sucks; you'll need to charge it every day. My wife uses it to compete on the fitness app with her friends.,"December 11, 2022",NEGATIVE,0.92703777551651
353,Todo bien pero con la Banda M/L,4.0,"Me gusto mucho él reloj creo que es muy práctico y bello, lo único malo sería que la Banda era muy grande talla M/L y yo soy S en la descripción decía Banda S","December 12, 2022",NEGATIVE,0.8523176908493042
354,An Apple Watch without the high cost,5.0,I really like this watch. It keeps the time accurately. I can talk on it as well as get alerts on it. I can accessorize it with multiple bands. Great value.,"January 21, 2023",POSITIVE,0.9996168613433838
355,Good Value in Apple Watch Lineup,5.0,Purchased one for our oldest son. Good price point with features compared to the latest version of the Apple Watches. So happy with it that I bought another one for my wife.,"January 20, 2023",POSITIVE,0.9996309280395508
356,Very nice!,5.0,"I was a little worried based on the other reviews but I love this watch! It's come in handy and it works very well, I kind of forget I'm wearing it. Highly recommend.","January 20, 2023",POSITIVE,0.9998475313186646
357,Upgraded from Fitbit Versa,5.0,I love I can respond to text messages by speaking into the watch. I love all the apps this was definitely a great upgrade.,"January 26, 2023",POSITIVE,0.9996902942657471
358,Stylish Functionality,4.0,"Surprise Christmas gift for my son, which he enjoys!","January 6, 2023",POSITIVE,0.999859094619751
359,First Apple Watch.,4.0,Cool watch. Battery only last a day.,"January 3, 2023",POSITIVE,0.6420111656188965
360,It can help in extreme medical emergencies.,5.0,"There is nothing I dislike. It’s perfect for me.  Thank God.  A blessing in disguise. In 2019, I started on A-Fib, after that, I purchased mine.  It let me know on time that I was on A-Fib twice, one in 2020, another in 2021. Got med attention on time, by making one aware, and rush to the hospital.  EVERYONE SHOULD GET ONE. Thanks A/W.","January 10, 2023",POSITIVE,0.996715784072876
361,Apple Watch 2nd Gen,5.0,Exactly what I was looking for. Easy to operate and has a great battery life.,"January 30, 2023",POSITIVE,0.999350368976593
362,Best Value for your Dollar If you're Looking for Latest Generation Apple Watch,5.0,"The Apple Watch SE (2nd Gen) has to be the best value Apple Watch in the lineup. Sure, you can spend a couple hundred more for a few more features but I don't think it's worth it. I've owned a few Apple Watches and they provide a similar experience regardless of price, at least for my use cases. This watch has the latest processor which is able to give it the extra power it needs to continue to feel snappy for years to come. It's just as comfortable as any other Apple Watch. It also tracks your steps, workouts, and sleep just as well as the more expensive Apple Watches. So, for my money, this is the best value you can get for an Apple Smart watch that isn't a generation old.","November 17, 2022",POSITIVE,0.9957583546638489
363,hard to charge,4.0,it did not come the the c adapter to charge the phone . nor was there any heads up that i would have to buy one,"December 11, 2022",NEGATIVE,0.9995740056037903
364,just like i bought from apple website,5.0,this watch is perfect i’ve had an apple watch before but broke it and needed a new one. i was a little worried ordering it from amazon but it’d exactly the same came in an apple box and everything there’s no difference at all ordering it from amazon than from apple. i love my apple watch!,"January 9, 2023",NEGATIVE,0.9905776977539062
365,Guidance on the most useful apps,4.0,Great product except for the short battery life.,"December 30, 2022",POSITIVE,0.9722908139228821
366,Updated and happy I did!,5.0,"Should have updated a few years ago, glad I finally got around to doing so. So happy that I chose to go up in size to the 44mm. Wondered if it would be too large on my wrist, but I love the slightly oversized look. For reference I have the S/M band and it's closed on the second hole from the top. Using the apps is much easier on the 44mm too.","December 23, 2022",POSITIVE,0.9460896849632263
367,As perfect as Apple is,5.0,"It definitely worth it. This is my first Apple Watch, and I'm so happy about it. It's very convenient, easy to wear. The battery last around 36 hours. Unfortunately, this model doesn't have the electrocardiogram feature. I was looking forward to it.If you're looking for an apple watch, and it's gonna be your first one, the SE2 Apple watch is for you.","January 1, 2023",POSITIVE,0.9997151494026184
368,My wife is so happy with it!!,5.0,"My wife has some trouble with all that her new Apple watch does, but the joy of having it overcomes the learning curve. She has family and trip pictures scrolling across the face of the watch, and she is always showing the pictures to others. I am tickled to see her finding such joy in her Apple watch.","December 30, 2022",POSITIVE,0.9997798800468445
369,Apple Watch- SE sports band,5.0,"1st apple watch so I do not have anything to compare it to. Watched a lot of videos about comparing the SE, #8 and Ultra. Chose the SE for the lower cost and the others had extra features that I could live without. I have been wanting an apple watch for ever! I am very pleased with my purchase and I can not wait to see what apps I can put to use.","December 27, 2022",POSITIVE,0.9968913197517395
370,Muy buena compra,5.0,Excelente compra,"February 9, 2023",POSITIVE,0.9952419996261597
371,Great 44mm iwatch SE 2 gen,5.0,"Upgraded from Apple Watch 3 42mm. I was doing in that watch everything, taking shower, washing dishes, swimming in lakes and in the ocean. Finally they died after I did a scuba dive recently  for 30ft or 10-12 meters :) I opened it to see what is going on inside and was shocked. Th3 watch was so heavily damaged by rust and corrosion inside, lots of leakage. I have to say I am surprised they survived for such a long time. Though Apple say it is water resistant up to 50 meters it looks it is not, so take care of your watch.","December 6, 2022",NEGATIVE,0.9962649941444397
372,Buy it,5.0,"I had Apple Watch 6 (40mm) stainless steel. It looks good but very heavy for that size and the pointy bottom with sensor was breaking my wrist. So I bought this same size model of SE2.It looks and feels the same as 6. But lighter. Not too much 15g or so. But it gives not as much pressure on the wrist. I prefer Samsung watches’ bottom as they are flatter. But last couple of their iterations do not sync with iPhone.SE2 is much faster in everything. You can see it fly through everything.Battery is not good. Even though this doesn’t have always on function, if you wear 12hr or more you will need to charge it. Not good.Strap is mine. But this strap is lighter than the one comes with the watch.But at $250 I’m not complaining.So buy it","October 3, 2022",NEGATIVE,0.9944027066230774
373,It’s an Apple Watch so it meets all expectations.,5.0,"I personally have never been disappointed by any Apple products. The watch is no exception. I use it mostly as a backup for my iPhone. I don’t miss calls, email, texts or alarms. Since I am often not sure where I left my phone that is very handy. I bought the SE because it was the most reasonable priced. I’m glad I did.","December 27, 2022",POSITIVE,0.9958849549293518
374,Wish two bands had been included,5.0,"Love my Apple Watch.  I bought it for Fall Detection, but have found lots of other useful features.  Much cheaper in the long run than “Help, I’ve fallen and I can’t get up” devices.iPhone locator, timer, reminder alarms, “where am I?”  Plus, it’s always with you — right there on your wrist.My friends tell me that their watches (not from Amazon) came with two sizes of bands.  Wish mine had.","December 15, 2022",NEGATIVE,0.9255542159080505
375,Nice,4.0,Nice,"December 31, 2022",POSITIVE,0.9998552799224854
376,Super upgrade from Series 3,5.0,"My series 3 watch was showing its age. I finally broke down and replaced it with this. It’s a huge upgrade to my series 3 and for considerably less than a series 8. I can’t complain, I knew I was giving up some features to the 8 but I couldn’t justify the extra expense. I love my SE.","December 27, 2022",POSITIVE,0.9774495363235474
377,I Love It,5.0,"My husband bought me this for Christmas to replace my second gen, which was 8 years old. Not much difference in style, face is a little larger. Synced with my iPhone easily and so many more functions. Truly a computer on your wrist. Easy to personalize to your style, you can use photos as your wallpaper.","January 4, 2023",POSITIVE,0.9828528761863708
378,Does not come with an adapter to charge watch,5.0,"Apple why wouldn't you include an adapter with watch?  You should list, it not including adapter a must purchase.","January 25, 2023",NEGATIVE,0.998443067073822
